,pubdate,authors,title,fulljournalname,pubmed,doi,pmc
10,2023 Mar 8,"[{'name': 'Figaschewski M', 'authtype': 'Author'}, {'name': 'Sürün B', 'authtype': 'Author'}, {'name': 'Tiede T', 'authtype': 'Author'}, {'name': 'Kohlbacher O', 'authtype': 'Author'}]",The personalized cancer network explorer (PeCaX) as a visual analytics tool to support molecular tumor boards,BMC Bioinformatics,36890446,10.1186/s12859-023-05194-3,PMC9993744
11,2023 Mar 6,"[{'name': 'Mondal R', 'authtype': 'Author'}, {'name': 'Do MD', 'authtype': 'Author'}, {'name': 'Ahmed NU', 'authtype': 'Author'}, {'name': 'Walke D', 'authtype': 'Author'}, {'name': 'Micheel D', 'authtype': 'Author'}, {'name': 'Broneske D', 'authtype': 'Author'}, {'name': 'Saake G', 'authtype': 'Author'}, {'name': 'Heyer R', 'authtype': 'Author'}]",Decision tree learning in Neo4j on homogeneous and unconnected graph nodes from biological and clinical datasets,BMC Medical Informatics and Decision Making,36879243,10.1186/s12911-023-02112-8,PMC9988195
12,2023 Feb 9,"[{'name': 'Abe S', 'authtype': 'Author'}, {'name': 'Tago S', 'authtype': 'Author'}, {'name': 'Yokoyama K', 'authtype': 'Author'}, {'name': 'Ogawa M', 'authtype': 'Author'}, {'name': 'Takei T', 'authtype': 'Author'}, {'name': 'Imoto S', 'authtype': 'Author'}, {'name': 'Fuji M', 'authtype': 'Author'}]",Explainable AI for Estimating Pathogenicity of Genetic Variants Using Large-Scale Knowledge Graphs,Cancers,36831459,10.3390/cancers15041118,PMC9953952
13,2023 Feb 9,"[{'name': 'Morris JH', 'authtype': 'Author'}, {'name': 'Soman K', 'authtype': 'Author'}, {'name': 'Akbas RE', 'authtype': 'Author'}, {'name': 'Zhou X', 'authtype': 'Author'}, {'name': 'Smith B', 'authtype': 'Author'}, {'name': 'Meng EC', 'authtype': 'Author'}, {'name': 'Huang CC', 'authtype': 'Author'}, {'name': 'Cerono G', 'authtype': 'Author'}, {'name': 'Schenk G', 'authtype': 'Author'}, {'name': 'Rizk-Jackson A', 'authtype': 'Author'}, {'name': 'Harroud A', 'authtype': 'Author'}, {'name': 'Sanders L', 'authtype': 'Author'}, {'name': 'Costes SV', 'authtype': 'Author'}, {'name': 'Bharat K', 'authtype': 'Author'}, {'name': 'Chakraborty A', 'authtype': 'Author'}, {'name': 'Pico AR', 'authtype': 'Author'}, {'name': 'Mardirossian T', 'authtype': 'Author'}, {'name': 'Keiser M', 'authtype': 'Author'}, {'name': 'Tang A', 'authtype': 'Author'}, {'name': 'Hardi J', 'authtype': 'Author'}, {'name': 'Shi Y', 'authtype': 'Author'}, {'name': 'Musen M', 'authtype': 'Author'}, {'name': 'Israni S', 'authtype': 'Author'}, {'name': 'Huang S', 'authtype': 'Author'}, {'name': 'Rose PW', 'authtype': 'Author'}, {'name': 'Nelson CA', 'authtype': 'Author'}, {'name': 'Baranzini SE', 'authtype': 'Author'}]",The scalable precision medicine open knowledge engine (SPOKE): a massive knowledge graph of biomedical information,Bioinformatics,36759942,10.1093/bioinformatics/btad080,PMC9940622
14,2022 Oct 20,"[{'name': 'Talukder AK', 'authtype': 'Author'}, {'name': 'Schriml L', 'authtype': 'Author'}, {'name': 'Ghosh A', 'authtype': 'Author'}, {'name': 'Biswas R', 'authtype': 'Author'}, {'name': 'Chakrabarti P', 'authtype': 'Author'}, {'name': 'Haas RE', 'authtype': 'Author'}]",Diseasomics: Actionable machine interpretable disease knowledge at the point-of-care,PLOS Digital Health,36812614,10.1371/journal.pdig.0000128,PMC9931276
15,2023 Feb 10,"[{'name': 'Zowalla R', 'authtype': 'Author'}, {'name': 'Pfeifer D', 'authtype': 'Author'}, {'name': 'Wetter T', 'authtype': 'Author'}]",Readability and topics of the German Health Web: Exploratory study and text analysis,PLOS ONE,36763573,10.1371/journal.pone.0281582,PMC9916670
16,2023 Jan 26,"[{'name': 'van Geenen D', 'authtype': 'Author'}, {'name': 'Gray JW', 'authtype': 'Author'}, {'name': 'Bounegru L', 'authtype': 'Author'}, {'name': 'Venturini T', 'authtype': 'Author'}, {'name': 'Jacomy M', 'authtype': 'Author'}, {'name': 'Meunier A', 'authtype': 'Author'}]",Staying with the trouble of networks,Frontiers in Big Data,36776760,10.3389/fdata.2022.510310,PMC9911142
17,2023 Jan 26,"[{'name': 'Court R', 'authtype': 'Author'}, {'name': 'Costa M', 'authtype': 'Author'}, {'name': 'Pilgrim C', 'authtype': 'Author'}, {'name': 'Millburn G', 'authtype': 'Author'}, {'name': 'Holmes A', 'authtype': 'Author'}, {'name': 'McLachlan A', 'authtype': 'Author'}, {'name': 'Larkin A', 'authtype': 'Author'}, {'name': 'Matentzoglu N', 'authtype': 'Author'}, {'name': 'Kir H', 'authtype': 'Author'}, {'name': 'Parkinson H', 'authtype': 'Author'}, {'name': 'Brown NH', 'authtype': 'Author'}, {'name': 'O’Kane CJ', 'authtype': 'Author'}, {'name': 'Armstrong JD', 'authtype': 'Author'}, {'name': 'Jefferis GS', 'authtype': 'Author'}, {'name': 'Osumi-Sutherland D', 'authtype': 'Author'}]",Virtual Fly Brain—An interactive atlas of the Drosophila nervous system,Frontiers in Physiology,36776967,10.3389/fphys.2023.1076533,PMC9908962
18,2022 Nov 22,"[{'name': 'Li J', 'authtype': 'Author'}, {'name': 'Gao J', 'authtype': 'Author'}, {'name': 'Feng B', 'authtype': 'Author'}, {'name': 'Jing Y', 'authtype': 'Author'}]",PlagueKD: a knowledge graph–based plague knowledge database,Database: The Journal of Biological Databases and Curation,36412326,10.1093/database/baac100,PMC10161524
19,2022 Nov 30,"[{'name': 'Müller C', 'authtype': 'Author'}, {'name': 'Bernhard L', 'authtype': 'Author'}, {'name': 'Wilhelm D', 'authtype': 'Author'}]",Usage of a graph database for the selection of sterile items in the OR,International Journal of Computer Assisted Radiology and Surgery,36449131,10.1007/s11548-022-02795-w,PMC10113309
20,2023 Mar 14,"[{'name': 'Liu C', 'authtype': 'Author'}, {'name': 'Yu H', 'authtype': 'Author'}, {'name': 'Chen G', 'authtype': 'Author'}, {'name': 'Yang Q', 'authtype': 'Author'}, {'name': 'Wang Z', 'authtype': 'Author'}, {'name': 'Niu N', 'authtype': 'Author'}, {'name': 'Han L', 'authtype': 'Author'}, {'name': 'Zhao D', 'authtype': 'Author'}, {'name': 'Wang M', 'authtype': 'Author'}, {'name': 'Liu Y', 'authtype': 'Author'}, {'name': 'Yang Y', 'authtype': 'Author'}]",An herbal drug combination identified by knowledge graph alleviates the clinical symptoms of plasma cell mastitis patients: A nonrandomized controlled trial,eLife,36917037,10.7554/eLife.84414,PMC10063228
21,2023 Mar 24,"[{'name': 'Shi F', 'authtype': 'Author'}, {'name': 'Evans J', 'authtype': 'Author'}]",Surprising combinations of research contents and contexts are related to impact and emerge with scientific outsiders from distant disciplines,Nature Communications,36964138,10.1038/s41467-023-36741-4,PMC10039062
22,2022 Dec 22,"[{'name': 'Peng Z', 'authtype': 'Author'}, {'name': 'Li J', 'authtype': 'Author'}, {'name': 'Jiang X', 'authtype': 'Author'}, {'name': 'Wan C', 'authtype': 'Author'}]",CyanoMapDB: a database integrating experimentally validated protein–protein interactions in cyanobacteria,Plant Physiology,36548962,10.1093/plphys/kiac594,PMC10022605
23,2023 Feb 23,"[{'name': 'Barrio-Hernandez I', 'authtype': 'Author'}, {'name': 'Schwartzentruber J', 'authtype': 'Author'}, {'name': 'Shrivastava A', 'authtype': 'Author'}, {'name': 'del-Toro N', 'authtype': 'Author'}, {'name': 'Gonzalez A', 'authtype': 'Author'}, {'name': 'Zhang Q', 'authtype': 'Author'}, {'name': 'Mountjoy E', 'authtype': 'Author'}, {'name': 'Suveges D', 'authtype': 'Author'}, {'name': 'Ochoa D', 'authtype': 'Author'}, {'name': 'Ghoussaini M', 'authtype': 'Author'}, {'name': 'Bradley G', 'authtype': 'Author'}, {'name': 'Hermjakob H', 'authtype': 'Author'}, {'name': 'Orchard S', 'authtype': 'Author'}, {'name': 'Dunham I', 'authtype': 'Author'}, {'name': 'Anderson CA', 'authtype': 'Author'}, {'name': 'Porras P', 'authtype': 'Author'}, {'name': 'Beltrao P', 'authtype': 'Author'}]",Network expansion of genetic associations defines a pleiotropy map of human cell biology,Nature Genetics,36823319,10.1038/s41588-023-01327-9,PMC10011132
24,2023 Feb 28,"[{'name': 'Quan X', 'authtype': 'Author'}, {'name': 'Cai W', 'authtype': 'Author'}, {'name': 'Xi C', 'authtype': 'Author'}, {'name': 'Wang C', 'authtype': 'Author'}, {'name': 'Yan L', 'authtype': 'Author'}]",AIMedGraph: a comprehensive multi-relational knowledge graph for precision medicine,Database: The Journal of Biological Databases and Curation,36856726,10.1093/database/baad006,PMC9976745
25,2023 Mar 1,"[{'name': 'Guo H', 'authtype': 'Author'}, {'name': 'Scriney M', 'authtype': 'Author'}, {'name': 'Liu K', 'authtype': 'Author'}]",An Ostensive Information Architecture to Enhance Semantic Interoperability for Healthcare Information Systems,Information Systems Frontiers,37361885,10.1007/s10796-023-10379-5,PMC9974391
26,2023 Feb 28,"[{'name': 'Kariampuzha WZ', 'authtype': 'Author'}, {'name': 'Alyea G', 'authtype': 'Author'}, {'name': 'Qu S', 'authtype': 'Author'}, {'name': 'Sanjak J', 'authtype': 'Author'}, {'name': 'Mathé E', 'authtype': 'Author'}, {'name': 'Sid E', 'authtype': 'Author'}, {'name': 'Chatelaine H', 'authtype': 'Author'}, {'name': 'Yadaw A', 'authtype': 'Author'}, {'name': 'Xu Y', 'authtype': 'Author'}, {'name': 'Zhu Q', 'authtype': 'Author'}]",Precision information extraction for rare disease epidemiology at scale,Journal of Translational Medicine,36855134,10.1186/s12967-023-04011-y,PMC9972634
27,2023 Feb 4,"[{'name': 'DeSantis TZ', 'authtype': 'Author'}, {'name': 'Cardona C', 'authtype': 'Author'}, {'name': 'Narayan NR', 'authtype': 'Author'}, {'name': 'Viswanatham S', 'authtype': 'Author'}, {'name': 'Ravichandar D', 'authtype': 'Author'}, {'name': 'Wee B', 'authtype': 'Author'}, {'name': 'Chow CE', 'authtype': 'Author'}, {'name': 'Iwai S', 'authtype': 'Author'}]","StrainSelect: A novel microbiome reference database that disambiguates all bacterial strains, genome assemblies and extant cultures worldwide",Heliyon,36814618,10.1016/j.heliyon.2023.e13314,PMC9939595
28,2023 Jan 20,"[{'name': 'Xing X', 'authtype': 'Author'}, {'name': 'Wang S', 'authtype': 'Author'}, {'name': 'Liu W', 'authtype': 'Author'}]",An Improved DDPG and Its Application in Spacecraft Fault Knowledge Graph,"Sensors (Basel, Switzerland)",36772264,10.3390/s23031223,PMC9920032
29,2023 Feb 1,"[{'name': 'Ye Q', 'authtype': 'Author'}, {'name': 'Yang R', 'authtype': 'Author'}, {'name': 'Cheng CL', 'authtype': 'Author'}, {'name': 'Peng L', 'authtype': 'Author'}, {'name': 'Lan Y', 'authtype': 'Author'}]",Combining the External Medical Knowledge Graph Embedding to Improve the Performance of Syndrome Differentiation Model,Evidence-based Complementary and Alternative Medicine : eCAM,36777631,10.1155/2023/2088698,PMC9908338
30,2023 Jan 24,"[{'name': 'Torab-Miandoab A', 'authtype': 'Author'}, {'name': 'Samad-Soltani T', 'authtype': 'Author'}, {'name': 'Jodati A', 'authtype': 'Author'}, {'name': 'Rezaei-Hachesu P', 'authtype': 'Author'}]",Interoperability of heterogeneous health information systems: a systematic literature review,BMC Medical Informatics and Decision Making,36694161,10.1186/s12911-023-02115-5,PMC9875417
31,2023 Jan 24,"[{'name': 'Tan SZ', 'authtype': 'Author'}, {'name': 'Kir H', 'authtype': 'Author'}, {'name': 'Aevermann BD', 'authtype': 'Author'}, {'name': 'Gillespie T', 'authtype': 'Author'}, {'name': 'Harris N', 'authtype': 'Author'}, {'name': 'Hawrylycz MJ', 'authtype': 'Author'}, {'name': 'Jorstad NL', 'authtype': 'Author'}, {'name': 'Lein ES', 'authtype': 'Author'}, {'name': 'Matentzoglu N', 'authtype': 'Author'}, {'name': 'Miller JA', 'authtype': 'Author'}, {'name': 'Mollenkopf TS', 'authtype': 'Author'}, {'name': 'Mungall CJ', 'authtype': 'Author'}, {'name': 'Ray PL', 'authtype': 'Author'}, {'name': 'Sanchez RE', 'authtype': 'Author'}, {'name': 'Staats B', 'authtype': 'Author'}, {'name': 'Vermillion J', 'authtype': 'Author'}, {'name': 'Yadav A', 'authtype': 'Author'}, {'name': 'Zhang Y', 'authtype': 'Author'}, {'name': 'Scheuermann RH', 'authtype': 'Author'}, {'name': 'Osumi-Sutherland D', 'authtype': 'Author'}]",Brain Data Standards - A method for building data-driven cell-type ontologies,Scientific Data,36693887,10.1038/s41597-022-01886-2,PMC9873614
32,2022 Oct 17,"[{'name': 'van der Lee M', 'authtype': 'Author'}, {'name': 'Swen JJ', 'authtype': 'Author'}]",Artificial intelligence in pharmacology research and practice,Clinical and Translational Science,36181380,10.1111/cts.13431,PMC9841296
33,2022 Dec 1,"[{'name': 'Raina P', 'authtype': 'Author'}, {'name': 'Guinea R', 'authtype': 'Author'}, {'name': 'Chatsirisupachai K', 'authtype': 'Author'}, {'name': 'Lopes I', 'authtype': 'Author'}, {'name': 'Farooq Z', 'authtype': 'Author'}, {'name': 'Guinea C', 'authtype': 'Author'}, {'name': 'Solyom CA', 'authtype': 'Author'}, {'name': 'de\xa0Magalhães JP', 'authtype': 'Author'}]",GeneFriends: gene co-expression databases and tools for humans and model organisms,Nucleic Acids Research,36454018,10.1093/nar/gkac1031,PMC9825523
34,2022 Oct 16,"[{'name': 'Lu M', 'authtype': 'Author'}, {'name': 'Zhang Y', 'authtype': 'Author'}, {'name': 'Yang F', 'authtype': 'Author'}, {'name': 'Mai J', 'authtype': 'Author'}, {'name': 'Gao Q', 'authtype': 'Author'}, {'name': 'Xu X', 'authtype': 'Author'}, {'name': 'Kang H', 'authtype': 'Author'}, {'name': 'Hou L', 'authtype': 'Author'}, {'name': 'Shang Y', 'authtype': 'Author'}, {'name': 'Qain Q', 'authtype': 'Author'}, {'name': 'Liu J', 'authtype': 'Author'}, {'name': 'Jiang M', 'authtype': 'Author'}, {'name': 'Zhang H', 'authtype': 'Author'}, {'name': 'Bu C', 'authtype': 'Author'}, {'name': 'Wang J', 'authtype': 'Author'}, {'name': 'Zhang Z', 'authtype': 'Author'}, {'name': 'Zhang Z', 'authtype': 'Author'}, {'name': 'Zeng J', 'authtype': 'Author'}, {'name': 'Li J', 'authtype': 'Author'}, {'name': 'Xiao J', 'authtype': 'Author'}]",TWAS Atlas: a curated knowledgebase of transcriptome-wide association studies,Nucleic Acids Research,36243959,10.1093/nar/gkac821,PMC9825460
35,2022 Oct 28,"[{'name': 'Kushner A', 'authtype': 'Author'}, {'name': 'Petrov AS', 'authtype': 'Author'}, {'name': 'Dao\xa0Duc K', 'authtype': 'Author'}]",RiboXYZ: a comprehensive database for visualizing and analyzing ribosome structures,Nucleic Acids Research,36305870,10.1093/nar/gkac939,PMC9825457
36,2022 Nov 1,"[{'name': 'Feng F', 'authtype': 'Author'}, {'name': 'Tang F', 'authtype': 'Author'}, {'name': 'Gao Y', 'authtype': 'Author'}, {'name': 'Zhu D', 'authtype': 'Author'}, {'name': 'Li T', 'authtype': 'Author'}, {'name': 'Yang S', 'authtype': 'Author'}, {'name': 'Yao Y', 'authtype': 'Author'}, {'name': 'Huang Y', 'authtype': 'Author'}, {'name': 'Liu J', 'authtype': 'Author'}]",GenomicKB: a knowledge graph for the human genome,Nucleic Acids Research,36318240,10.1093/nar/gkac957,PMC9825430
37,2022 Sep 28,"[{'name': 'Li F', 'authtype': 'Author'}, {'name': 'Chen Y', 'authtype': 'Author'}, {'name': 'Anton M', 'authtype': 'Author'}, {'name': 'Nielsen J', 'authtype': 'Author'}]",GotEnzymes: an extensive database of enzyme parameter predictions,Nucleic Acids Research,36169223,10.1093/nar/gkac831,PMC9825421
38,2023 Jan 1,"[{'name': 'Lehmann J', 'authtype': 'Author'}, {'name': 'Schorz S', 'authtype': 'Author'}, {'name': 'Rache A', 'authtype': 'Author'}, {'name': 'Häußermann T', 'authtype': 'Author'}, {'name': 'Rädle M', 'authtype': 'Author'}, {'name': 'Reichwald J', 'authtype': 'Author'}]",Establishing Reliable Research Data Management by Integrating Measurement Devices Utilizing Intelligent Digital Twins,"Sensors (Basel, Switzerland)",36617065,10.3390/s23010468,PMC9824845
39,2023 Jan 2,"[{'name': 'Gajendran S', 'authtype': 'Author'}, {'name': 'Manjula D', 'authtype': 'Author'}, {'name': 'Sugumaran V', 'authtype': 'Author'}, {'name': 'Hema R', 'authtype': 'Author'}]",Extraction of knowledge graph of Covid-19 through mining of unstructured biomedical corpora,Computational Biology and Chemistry,36621289,10.1016/j.compbiolchem.2022.107808,PMC9807269
40,2022 Dec 8,"[{'name': 'Priestley DR', 'authtype': 'Author'}, {'name': 'Staph J', 'authtype': 'Author'}, {'name': 'Koneru SD', 'authtype': 'Author'}, {'name': 'Rajtmajer SM', 'authtype': 'Author'}, {'name': 'Cwiek A', 'authtype': 'Author'}, {'name': 'Vervoordt S', 'authtype': 'Author'}, {'name': 'Hillary FG', 'authtype': 'Author'}]","Establishing ground truth in the traumatic brain injury literature: if replication is the answer, then what are the questions?",Brain Communications,36601624,10.1093/braincomms/fcac322,PMC9806718
41,2022 Nov 9,"[{'name': 'Rossignol P', 'authtype': 'Author'}, {'name': 'Duarte K', 'authtype': 'Author'}, {'name': 'Bresso E', 'authtype': 'Author'}, {'name': 'A Å', 'authtype': 'Author'}, {'name': 'Devignes MD', 'authtype': 'Author'}, {'name': 'Eriksson N', 'authtype': 'Author'}, {'name': 'Girerd N', 'authtype': 'Author'}, {'name': 'Glerup R', 'authtype': 'Author'}, {'name': 'Jardine AG', 'authtype': 'Author'}, {'name': 'Holdaas H', 'authtype': 'Author'}, {'name': 'Lamiral Z', 'authtype': 'Author'}, {'name': 'Leroy C', 'authtype': 'Author'}, {'name': 'Massy Z', 'authtype': 'Author'}, {'name': 'März W', 'authtype': 'Author'}, {'name': 'Krämer B', 'authtype': 'Author'}, {'name': 'Wu PH', 'authtype': 'Author'}, {'name': 'Schmieder R', 'authtype': 'Author'}, {'name': 'Soveri I', 'authtype': 'Author'}, {'name': 'Christensen JH', 'authtype': 'Author'}, {'name': 'Svensson M', 'authtype': 'Author'}, {'name': 'Zannad F', 'authtype': 'Author'}, {'name': 'Fellström B', 'authtype': 'Author'}]",NT-proBNP and stem cell factor plasma concentrations are independently associated with cardiovascular outcomes in end-stage renal disease hemodialysis patients,European Heart Journal Open,36600882,10.1093/ehjopen/oeac069,PMC9797490
42,2022 Dec 12,"[{'name': 'Schäfer J', 'authtype': 'Author'}, {'name': 'Tang M', 'authtype': 'Author'}, {'name': 'Luu D', 'authtype': 'Author'}, {'name': 'Bergmann AK', 'authtype': 'Author'}, {'name': 'Wiese L', 'authtype': 'Author'}]",Graph4Med: a web application and a graph database for visualizing and analyzing medical databases,BMC Bioinformatics,36503436,10.1186/s12859-022-05092-0,PMC9743588
43,2022 Nov 25,"[{'name': 'Chen A', 'authtype': 'Author'}, {'name': 'Huang R', 'authtype': 'Author'}, {'name': 'Wu E', 'authtype': 'Author'}, {'name': 'Han R', 'authtype': 'Author'}, {'name': 'Wen J', 'authtype': 'Author'}, {'name': 'Li Q', 'authtype': 'Author'}, {'name': 'Zhang Z', 'authtype': 'Author'}, {'name': 'Shen B', 'authtype': 'Author'}]",The Generation of a Lung Cancer Health Factor Distribution Using Patient Graphs Constructed From Electronic Medical Records: Retrospective Study,Journal of Medical Internet Research,36427233,10.2196/40361,PMC9736747
44,2022 Nov 3,"[{'name': 'Dong S', 'authtype': 'Author'}, {'name': 'Shi C', 'authtype': 'Author'}, {'name': 'Zeng W', 'authtype': 'Author'}, {'name': 'Jia Z', 'authtype': 'Author'}, {'name': 'Dong M', 'authtype': 'Author'}, {'name': 'Xiao Y', 'authtype': 'Author'}, {'name': 'Li G', 'authtype': 'Author'}]",The Application of Graph Theoretical Analysis to Complex Networks in Medical Malpractice in China: Qualitative Study,JMIR Medical Informatics,36326815,10.2196/35709,PMC9673000
45,2022 Nov 15,"[{'name': 'Naghib A', 'authtype': 'Author'}, {'name': 'Jafari Navimipour N', 'authtype': 'Author'}, {'name': 'Hosseinzadeh M', 'authtype': 'Author'}, {'name': 'Sharifi A', 'authtype': 'Author'}]",A comprehensive and systematic literature review on the big data management techniques in the internet of things,Wireless Networks,0,10.1007/s11276-022-03177-5,PMC9664750
46,2022 Nov 11,"[{'name': 'Di Rocco L', 'authtype': 'Author'}, {'name': 'Ferraro Petrillo U', 'authtype': 'Author'}, {'name': 'Rombo SE', 'authtype': 'Author'}]",DIAMIN: a software library for the distributed analysis of large-scale molecular interaction networks,BMC Bioinformatics,36368948,10.1186/s12859-022-05026-w,PMC9652854
