,pubdate,authors,title,fulljournalname,pubmed,doi,pmc
15,2023 Feb 28,"[{'name': 'Quan X', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Cai W', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Xi C', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Wang C', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Yan L', 'authtype': 'Author', 'clusterid': ''}]",AIMedGraph: a comprehensive multi-relational knowledge graph for precision medicine.,Database : the journal of biological databases and curation,36856726,10.1093/database/baad006,PMC9976745
16,2023 Feb,"[{'name': 'DeSantis TZ', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Cardona C', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Narayan NR', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Viswanatham S', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Ravichandar D', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Wee B', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Chow CE', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Iwai S', 'authtype': 'Author', 'clusterid': ''}]","StrainSelect: A novel microbiome reference database that disambiguates all bacterial strains, genome assemblies and extant cultures worldwide.",Heliyon,36814618,10.1016/j.heliyon.2023.e13314,PMC9939595
17,2022 Oct,"[{'name': 'Talukder AK', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Schriml L', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Ghosh A', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Biswas R', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Chakrabarti P', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Haas RE', 'authtype': 'Author', 'clusterid': ''}]",Diseasomics: Actionable machine interpretable disease knowledge at the point-of-care.,PLOS digital health,36812614,10.1371/journal.pdig.0000128,PMC9931276
18,2023 Feb 14,"[{'name': 'Rangel Pinagé E', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Keller M', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Peck CP', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Longo M', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Duffy P', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Csillik O', 'authtype': 'Author', 'clusterid': ''}]",Effects of forest degradation classification on the uncertainty of aboveground carbon estimates in the Amazon.,Carbon balance and management,36786979,10.1186/s13021-023-00221-5,PMC9926651
19,2023 Oct,"[{'name': 'Dlamini SB', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Saunders CJ', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Laguette MN', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Gibbon A', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Gamieldien J', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Collins M', 'authtype': 'Author', 'clusterid': ''}, {'name': 'September AV', 'authtype': 'Author', 'clusterid': ''}]","Application of an in silico approach identifies a genetic locus within ITGB2, and its interactions with HSPG2 and FGF9, to be associated with anterior cruciate ligament rupture risk.",European journal of sport science,36680346,10.1080/17461391.2023.2171906,
20,2022 Dec 20,"[{'name': 'Ayala-Ruano S', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Marrero-Ponce Y', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Aguilera-Mendoza L', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Pérez N', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Agüero-Chapin G', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Antunes A', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Aguilar AC', 'authtype': 'Author', 'clusterid': ''}]",Network Science and Group Fusion Similarity-Based Searching to Explore the Chemical Space of Antiparasitic Peptides.,ACS omega,36570318,10.1021/acsomega.2c03398,PMC9773354
21,2022 Dec 12,"[{'name': 'Schäfer J', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Tang M', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Luu D', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Bergmann AK', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Wiese L', 'authtype': 'Author', 'clusterid': ''}]",Graph4Med: a web application and a graph database for visualizing and analyzing medical databases.,BMC bioinformatics,36503436,10.1186/s12859-022-05092-0,PMC9743588
22,2022 Dec 7,"[{'name': 'Cho HN', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Ahn I', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Gwon H', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Kang HJ', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Kim Y', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Seo H', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Choi H', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Kim M', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Han J', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Kee G', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Jun TJ', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Kim YH', 'authtype': 'Author', 'clusterid': ''}]",Heterogeneous graph construction and HinSAGE learning from electronic medical records.,Scientific reports,36477457,10.1038/s41598-022-25693-2,PMC9729175
23,2023 May,"[{'name': 'Müller C', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Bernhard L', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Wilhelm D', 'authtype': 'Author', 'clusterid': ''}]",Usage of a graph database for the selection of sterile items in the OR.,International journal of computer assisted radiology and surgery,36449131,10.1007/s11548-022-02795-w,PMC10113309
24,2022 Nov 25,"[{'name': 'Chen A', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Huang R', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Wu E', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Han R', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Wen J', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Li Q', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Zhang Z', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Shen B', 'authtype': 'Author', 'clusterid': ''}]",The Generation of a Lung Cancer Health Factor Distribution Using Patient Graphs Constructed From Electronic Medical Records: Retrospective Study.,Journal of medical Internet research,36427233,10.2196/40361,PMC9736747
25,2022 Nov 21,"[{'name': 'Li J', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Gao J', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Feng B', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Jing Y', 'authtype': 'Author', 'clusterid': ''}]",PlagueKD: a knowledge graph-based plague knowledge database.,Database : the journal of biological databases and curation,36412326,10.1093/database/baac100,PMC10161524
26,2023 Jan 6,"[{'name': 'Feng F', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Tang F', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Gao Y', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Zhu D', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Li T', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Yang S', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Yao Y', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Huang Y', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Liu J', 'authtype': 'Author', 'clusterid': ''}]",GenomicKB: a knowledge graph for the human genome.,Nucleic acids research,36318240,10.1093/nar/gkac957,PMC9825430
27,2022 Oct 21,"[{'name': 'Wang A', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Xiu X', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Liu S', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Qian Q', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Wu S', 'authtype': 'Author', 'clusterid': ''}]",Characteristics of Artificial Intelligence Clinical Trials in the Field of Healthcare: A Cross-Sectional Study on ClinicalTrials.gov.,International journal of environmental research and public health,36294269,10.3390/ijerph192013691,PMC9602501
28,2022 Dec,"[{'name': 'Beasley JT', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Korn DR', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Popov KI', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Dumproff RL', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Sessions ZL', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Rath MK', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Alves VM', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Causey K', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Rua D', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Muratov EN', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Tropsha A', 'authtype': 'Author', 'clusterid': ''}]",Integrated approach to elucidate metal-implant related adverse outcome pathways.,Regulatory toxicology and pharmacology : RTP,36288772,10.1016/j.yrtph.2022.105277,
29,2021 Dec 1,"[{'name': 'Rangel-Pineros G', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Millard A', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Michniewski S', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Scanlan D', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Sirén K', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Reyes A', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Petersen B', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Clokie MRJ', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Sicheritz-Pontén T', 'authtype': 'Author', 'clusterid': ''}]","From Trees to Clouds: PhageClouds for Fast Comparison of ∼640,000 Phage Genomic Sequences and Host-Centric Visualization Using Genomic Network Graphs.","PHAGE (New Rochelle, N.Y.)",36147515,10.1089/phage.2021.0008,PMC9041511
30,2022 Sep 2,"[{'name': 'Kajita M', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Ballegaard E', 'authtype': 'Author', 'clusterid': ''}]",The Missing Voices of Disabled People.,Studies in health technology and informatics,36073380,10.3233/SHTI220822,
31,2022 Nov,"[{'name': 'Conga DF', 'authtype': 'Author', 'clusterid': ''}, {'name': 'El Bizri HR', 'authtype': 'Author', 'clusterid': ''}, {'name': 'González Crespo C', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Gomez-Puerta LA', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Ulloa-Urizar GM', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Pérez-Peña PE', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Bowler M', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Mayor P', 'authtype': 'Author', 'clusterid': ''}]",Environmental predictors of filarial infection in Amazonian primates: Ecological factors and primate filarial infection.,Acta tropica,36037980,10.1016/j.actatropica.2022.106670,
32,2022,"[{'name': 'Zhu Q', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Qu C', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Liu R', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Vatas G', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Clough A', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Nguyễn ÐT', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Sid E', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Mathé E', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Xu Y', 'authtype': 'Author', 'clusterid': ''}]",Rare disease-based scientific annotation knowledge graph.,Frontiers in artificial intelligence,36034595,10.3389/frai.2022.932665,PMC9403737
33,2022 Jul 29,"[{'name': 'Liu Z', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Gao X', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Li C', 'authtype': 'Author', 'clusterid': ''}]",Modeling COVID-19 Vaccine Adverse Effects with a Visualized Knowledge Graph Database.,"Healthcare (Basel, Switzerland)",36011076,10.3390/healthcare10081419,PMC9407998
34,2022 Mar,"[{'name': 'Kirkpatrick A', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Onyeze C', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Kartchner D', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Allegri S', 'authtype': 'Author', 'clusterid': ''}, {'name': 'An DN', 'authtype': 'Author', 'clusterid': ''}, {'name': 'McCoy K', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Davalbhakta E', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Mitchell CS', 'authtype': 'Author', 'clusterid': ''}]",Optimizations for Computing Relatedness in Biomedical Heterogeneous Information Networks: SemNet 2.0.,Big data and cognitive computing,35936510,10.3390/bdcc6010027,PMC9351549
35,2022,"[{'name': 'Plaza SM', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Clements J', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Dolafi T', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Umayam L', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Neubarth NN', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Scheffer LK', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Berg S', 'authtype': 'Author', 'clusterid': ''}]",neuPrint: An open access tool for EM connectomics.,Frontiers in neuroinformatics,35935535,10.3389/fninf.2022.896292,PMC9350508
36,2022 Sep 15,"[{'name': 'Jonkheer EM', 'authtype': 'Author', 'clusterid': ''}, {'name': 'van Workum DM', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Sheikhizadeh Anari S', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Brankovics B', 'authtype': 'Author', 'clusterid': ''}, {'name': 'de Haan JR', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Berke L', 'authtype': 'Author', 'clusterid': ''}, {'name': 'van der Lee TAJ', 'authtype': 'Author', 'clusterid': ''}, {'name': 'de Ridder D', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Smit S', 'authtype': 'Author', 'clusterid': ''}]","PanTools v3: functional annotation, classification and phylogenomics.","Bioinformatics (Oxford, England)",35861394,10.1093/bioinformatics/btac506,PMC9477522
37,2022 Jun,"[{'name': 'Allegri SA', 'authtype': 'Author', 'clusterid': ''}, {'name': 'McCoy K', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Mitchell CS', 'authtype': 'Author', 'clusterid': ''}]",CompositeView: A Network-Based Visualization Tool.,Big data and cognitive computing,35847767,10.3390/bdcc6020066,PMC9281616
38,2022 Jul 11,"[{'name': 'Königs C', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Friedrichs M', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Dietrich T', 'authtype': 'Author', 'clusterid': ''}]",The heterogeneous pharmacological medical biochemical network PharMeBINet.,Scientific data,35821017,10.1038/s41597-022-01510-3,PMC9276653
39,2022 Jul 6,"[{'name': 'Ni P', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Okhrati R', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Guan S', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Chang V', 'authtype': 'Author', 'clusterid': ''}]",Knowledge Graph and Deep Learning-based Text-to-GQL Model for Intelligent Medical Consultation Chatbot.,Information systems frontiers : a journal of research and innovation,35815295,10.1007/s10796-022-10295-0,PMC9257573
40,2022,"[{'name': 'Zheng N', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Sun M', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Yang Y', 'authtype': 'Author', 'clusterid': ''}]",Visual Analysis of College Sports Performance Based on Multimodal Knowledge Graph Optimization Neural Network.,Computational intelligence and neuroscience,35814560,10.1155/2022/5398932,PMC9270164
41,2022 Jun 29,"[{'name': 'Laddada W', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Zanni-Merk C', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Soualmia LF', 'authtype': 'Author', 'clusterid': ''}]",Analyzing SARS-CoV-2 Sequence Patterns by Semantic Trajectories.,Studies in health technology and informatics,35773842,10.3233/SHTI220696,
42,2022 Jun 27,"[{'name': 'Toti D', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Macari G', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Barbierato E', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Polticelli F', 'authtype': 'Author', 'clusterid': ''}]",FGDB: a comprehensive graph database of ligand fragments from the Protein Data Bank.,Database : the journal of biological databases and curation,35763362,10.1093/database/baac044,PMC9239314
43,2022 Jun 6,"[{'name': 'Cancé C', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Lenne C', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Artemova S', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Mossuz P', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Moreau-Gaudry A', 'authtype': 'Author', 'clusterid': ''}, {'name': 'PREDIMED Group', 'authtype': 'CollectiveName', 'clusterid': ''}]",Hypergraph Based Data Model for Complex Health Data Exploration and Its Implementation in PREDIMED Clinical Data Warehouse.,Studies in health technology and informatics,35673030,10.3233/SHTI220091,
