,Date,Author,Title,Publication Title,PMID,DOI,PMCID,Link Attachments
12,2023 Mar 1,"Rougny A, Balaur I, Luna A, Mazein A",StonPy: a tool to parse and query collections of SBGN maps in a graph database.,"Bioinformatics (Oxford, England)",36897014,10.1093/bioinformatics/btad100,PMC10017094,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10017094
13,2023 Mar 6,"Mondal R, Do MD, Ahmed NU, Walke D, Micheel D, Broneske D, Saake G, Heyer R",Decision tree learning in Neo4j on homogeneous and unconnected graph nodes from biological and clinical datasets.,BMC medical informatics and decision making,36879243,10.1186/s12911-023-02112-8,PMC9988195,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9988195
14,2023 Feb 28,"Quan X, Cai W, Xi C, Wang C, Yan L",AIMedGraph: a comprehensive multi-relational knowledge graph for precision medicine.,Database : the journal of biological databases and curation,36856726,10.1093/database/baad006,PMC9976745,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9976745
15,2023 Feb,"DeSantis TZ, Cardona C, Narayan NR, Viswanatham S, Ravichandar D, Wee B, Chow CE, Iwai S","StrainSelect: A novel microbiome reference database that disambiguates all bacterial strains, genome assemblies and extant cultures worldwide.",Heliyon,36814618,10.1016/j.heliyon.2023.e13314,PMC9939595,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9939595
16,2022 Oct,"Talukder AK, Schriml L, Ghosh A, Biswas R, Chakrabarti P, Haas RE",Diseasomics: Actionable machine interpretable disease knowledge at the point-of-care.,PLOS digital health,36812614,10.1371/journal.pdig.0000128,PMC9931276,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9931276
17,2023 Feb 14,"Rangel Pinagé E, Keller M, Peck CP, Longo M, Duffy P, Csillik O",Effects of forest degradation classification on the uncertainty of aboveground carbon estimates in the Amazon.,Carbon balance and management,36786979,10.1186/s13021-023-00221-5,PMC9926651,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9926651
18,2023 Oct,"Dlamini SB, Saunders CJ, Laguette MN, Gibbon A, Gamieldien J, Collins M, September AV","Application of an in silico approach identifies a genetic locus within ITGB2, and its interactions with HSPG2 and FGF9, to be associated with anterior cruciate ligament rupture risk.",European journal of sport science,36680346,10.1080/17461391.2023.2171906,both_none_18,https://www.ncbi.nlm.nih.gov/pmc/articles/both_none_18
19,2022 Dec 20,"Ayala-Ruano S, Marrero-Ponce Y, Aguilera-Mendoza L, Pérez N, Agüero-Chapin G, Antunes A, Aguilar AC",Network Science and Group Fusion Similarity-Based Searching to Explore the Chemical Space of Antiparasitic Peptides.,ACS omega,36570318,10.1021/acsomega.2c03398,PMC9773354,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9773354
20,2022 Dec 12,"Schäfer J, Tang M, Luu D, Bergmann AK, Wiese L",Graph4Med: a web application and a graph database for visualizing and analyzing medical databases.,BMC bioinformatics,36503436,10.1186/s12859-022-05092-0,PMC9743588,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9743588
21,2022 Dec 7,"Cho HN, Ahn I, Gwon H, Kang HJ, Kim Y, Seo H, Choi H, Kim M, Han J, Kee G, Jun TJ, Kim YH",Heterogeneous graph construction and HinSAGE learning from electronic medical records.,Scientific reports,36477457,10.1038/s41598-022-25693-2,PMC9729175,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9729175
22,2023 May,"Müller C, Bernhard L, Wilhelm D",Usage of a graph database for the selection of sterile items in the OR.,International journal of computer assisted radiology and surgery,36449131,10.1007/s11548-022-02795-w,PMC10113309,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10113309
23,2022 Nov 25,"Chen A, Huang R, Wu E, Han R, Wen J, Li Q, Zhang Z, Shen B",The Generation of a Lung Cancer Health Factor Distribution Using Patient Graphs Constructed From Electronic Medical Records: Retrospective Study.,Journal of medical Internet research,36427233,10.2196/40361,PMC9736747,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9736747
24,2022 Nov 21,"Li J, Gao J, Feng B, Jing Y",PlagueKD: a knowledge graph-based plague knowledge database.,Database : the journal of biological databases and curation,36412326,10.1093/database/baac100,PMC10161524,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10161524
25,2023 Jan 6,"Feng F, Tang F, Gao Y, Zhu D, Li T, Yang S, Yao Y, Huang Y, Liu J",GenomicKB: a knowledge graph for the human genome.,Nucleic acids research,36318240,10.1093/nar/gkac957,PMC9825430,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9825430
26,2022 Oct 21,"Wang A, Xiu X, Liu S, Qian Q, Wu S",Characteristics of Artificial Intelligence Clinical Trials in the Field of Healthcare: A Cross-Sectional Study on ClinicalTrials.gov.,International journal of environmental research and public health,36294269,10.3390/ijerph192013691,PMC9602501,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9602501
27,2022 Dec,"Beasley JT, Korn DR, Popov KI, Dumproff RL, Sessions ZL, Rath MK, Alves VM, Causey K, Rua D, Muratov EN, Tropsha A",Integrated approach to elucidate metal-implant related adverse outcome pathways.,Regulatory toxicology and pharmacology : RTP,36288772,10.1016/j.yrtph.2022.105277,both_none_27,https://www.ncbi.nlm.nih.gov/pmc/articles/both_none_27
28,2021 Dec 1,"Rangel-Pineros G, Millard A, Michniewski S, Scanlan D, Sirén K, Reyes A, Petersen B, Clokie MRJ, Sicheritz-Pontén T","From Trees to Clouds: PhageClouds for Fast Comparison of ∼640,000 Phage Genomic Sequences and Host-Centric Visualization Using Genomic Network Graphs.","PHAGE (New Rochelle, N.Y.)",36147515,10.1089/phage.2021.0008,PMC9041511,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9041511
29,2022 Sep 2,"Kajita M, Ballegaard E",The Missing Voices of Disabled People.,Studies in health technology and informatics,36073380,10.3233/SHTI220822,both_none_29,https://www.ncbi.nlm.nih.gov/pmc/articles/both_none_29
30,2022 Nov,"Conga DF, El Bizri HR, González Crespo C, Gomez-Puerta LA, Ulloa-Urizar GM, Pérez-Peña PE, Bowler M, Mayor P",Environmental predictors of filarial infection in Amazonian primates: Ecological factors and primate filarial infection.,Acta tropica,36037980,10.1016/j.actatropica.2022.106670,both_none_30,https://www.ncbi.nlm.nih.gov/pmc/articles/both_none_30
31,2022,"Zhu Q, Qu C, Liu R, Vatas G, Clough A, Nguyễn ÐT, Sid E, Mathé E, Xu Y",Rare disease-based scientific annotation knowledge graph.,Frontiers in artificial intelligence,36034595,10.3389/frai.2022.932665,PMC9403737,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9403737
32,2022 Jul 29,"Liu Z, Gao X, Li C",Modeling COVID-19 Vaccine Adverse Effects with a Visualized Knowledge Graph Database.,"Healthcare (Basel, Switzerland)",36011076,10.3390/healthcare10081419,PMC9407998,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9407998
33,2022 Mar,"Kirkpatrick A, Onyeze C, Kartchner D, Allegri S, An DN, McCoy K, Davalbhakta E, Mitchell CS",Optimizations for Computing Relatedness in Biomedical Heterogeneous Information Networks: SemNet 2.0.,Big data and cognitive computing,35936510,10.3390/bdcc6010027,PMC9351549,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9351549
34,2022,"Plaza SM, Clements J, Dolafi T, Umayam L, Neubarth NN, Scheffer LK, Berg S",neuPrint: An open access tool for EM connectomics.,Frontiers in neuroinformatics,35935535,10.3389/fninf.2022.896292,PMC9350508,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9350508
35,2022 Sep 15,"Jonkheer EM, van Workum DM, Sheikhizadeh Anari S, Brankovics B, de Haan JR, Berke L, van der Lee TAJ, de Ridder D, Smit S","PanTools v3: functional annotation, classification and phylogenomics.","Bioinformatics (Oxford, England)",35861394,10.1093/bioinformatics/btac506,PMC9477522,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9477522
36,2022 Jun,"Allegri SA, McCoy K, Mitchell CS",CompositeView: A Network-Based Visualization Tool.,Big data and cognitive computing,35847767,10.3390/bdcc6020066,PMC9281616,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9281616
37,2022 Jul 11,"Königs C, Friedrichs M, Dietrich T",The heterogeneous pharmacological medical biochemical network PharMeBINet.,Scientific data,35821017,10.1038/s41597-022-01510-3,PMC9276653,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9276653
38,2022 Jul 6,"Ni P, Okhrati R, Guan S, Chang V",Knowledge Graph and Deep Learning-based Text-to-GQL Model for Intelligent Medical Consultation Chatbot.,Information systems frontiers : a journal of research and innovation,35815295,10.1007/s10796-022-10295-0,PMC9257573,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9257573
39,2022,"Zheng N, Sun M, Yang Y",Visual Analysis of College Sports Performance Based on Multimodal Knowledge Graph Optimization Neural Network.,Computational intelligence and neuroscience,35814560,10.1155/2022/5398932,PMC9270164,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9270164
40,2022 Jun 29,"Laddada W, Zanni-Merk C, Soualmia LF",Analyzing SARS-CoV-2 Sequence Patterns by Semantic Trajectories.,Studies in health technology and informatics,35773842,10.3233/SHTI220696,both_none_40,https://www.ncbi.nlm.nih.gov/pmc/articles/both_none_40
41,2022 Jun 27,"Toti D, Macari G, Barbierato E, Polticelli F",FGDB: a comprehensive graph database of ligand fragments from the Protein Data Bank.,Database : the journal of biological databases and curation,35763362,10.1093/database/baac044,PMC9239314,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9239314
42,2022 Jun 6,"Cancé C, Lenne C, Artemova S, Mossuz P, Moreau-Gaudry A, PREDIMED Group",Hypergraph Based Data Model for Complex Health Data Exploration and Its Implementation in PREDIMED Clinical Data Warehouse.,Studies in health technology and informatics,35673030,10.3233/SHTI220091,both_none_42,https://www.ncbi.nlm.nih.gov/pmc/articles/both_none_42
43,2022 Jun 2,"Peng J, Xu D, Lee R, Xu S, Zhou Y, Wang K",Expediting knowledge acquisition by a web framework for Knowledge Graph Exploration and Visualization (KGEV): case studies on COVID-19 and Human Phenotype Ontology.,BMC medical informatics and decision making,35655307,10.1186/s12911-022-01848-z,PMC9161770,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9161770
44,2022 Sep,"Bayer PE, Petereit J, Durant É, Monat C, Rouard M, Hu H, Chapman B, Li C, Cheng S, Batley J, Edwards D",Wheat Panache: A pangenome graph database representing presence-absence variation across sixteen bread wheat genomes.,The plant genome,35644986,10.1002/tpg2.20221,both_none_44,https://www.ncbi.nlm.nih.gov/pmc/articles/both_none_44
45,2022 May 27,"Deagen ME, McCusker JP, Fateye T, Stouffer S, Brinson LC, McGuinness DL, Schadler LS",FAIR and Interactive Data Graphics from a Scientific Knowledge Graph.,Scientific data,35624233,10.1038/s41597-022-01352-z,PMC9142568,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9142568
46,2022 May 25,"Henkel R, Guetebier L, Waltemath D",CovidGraph: Integrating COVID-19 Data.,Studies in health technology and informatics,35612186,10.3233/SHTI220565,both_none_46,https://www.ncbi.nlm.nih.gov/pmc/articles/both_none_46
47,2022 Aug,"Murali V, Muralidhar YP, Königs C, Nair M, Madhu S, Nedungadi P, Srinivasa G, Athri P",Predicting clinical trial outcomes using drug bioactivities through graph database integration and machine learning.,Chemical biology & drug design,35587730,10.1111/cbdd.14092,both_none_47,https://www.ncbi.nlm.nih.gov/pmc/articles/both_none_47
48,2022,"Di Maria A, Alaimo S, Bellomo L, Billeci F, Ferragina P, Ferro A, Pulvirenti A",BioTAGME: A Comprehensive Platform for Biological Knowledge Network Analysis.,Frontiers in genetics,35571058,10.3389/fgene.2022.855739,PMC9096447,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9096447
49,2022 May 13,"Wang J, Wu M, Huang X, Wang L, Zhang S, Liu H, Zheng J",SynLethDB 2.0: a web-based knowledge graph database on synthetic lethality for novel anticancer drug discovery.,Database : the journal of biological databases and curation,35562840,10.1093/database/baac030,PMC9216587,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9216587
50,2022 May 12,"Yang Z, Bi Y, Wang L, Cao D, Li R, Li Q",Development and application of a field knowledge graph and search engine for pavement engineering.,Scientific reports,35550555,10.1038/s41598-022-11604-y,PMC9098876,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9098876
51,2022 Jul 5,"Mao Z, Wang R, Li H, Huang Y, Zhang Q, Liao X, Ma H","ERMer: a serverless platform for navigating, analyzing, and visualizing Escherichia coli regulatory landscape through graph database.",Nucleic acids research,35489073,10.1093/nar/gkac288,PMC9252789,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9252789
52,2022,"Yin Y, Zhang L, Wang Y, Wang M, Zhang Q, Li GZ",Question Answering System Based on Knowledge Graph in Traditional Chinese Medicine Diagnosis and Treatment of Viral Hepatitis B.,BioMed research international,35198638,10.1155/2022/7139904,PMC8860556,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8860556
53,2022 Feb 14,Tuck D,A cancer graph: a lung cancer property graph database in Neo4j.,BMC research notes,35164854,10.1186/s13104-022-05912-9,PMC8842806,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8842806
54,2022 Feb 14,"Zahoránszky-Kőhalmi G, Siramshetty VB, Kumar P, Gurumurthy M, Grillo B, Mathew B, Metaxatos D, Backus M, Mierzwa T, Simon R, Grishagin I, Brovold L, Mathé EA, Hall MD, Michael SG, Godfrey AG, Mestres J, Jensen LJ, Oprea TI",A Workflow of Integrated Resources to Catalyze Network Pharmacology Driven COVID-19 Research.,Journal of chemical information and modeling,35057621,10.1021/acs.jcim.1c00431,both_none_54,https://www.ncbi.nlm.nih.gov/pmc/articles/both_none_54
55,2022,"Larmande P, Tagny Ngompe G, Venkatesan A, Ruiz M",AgroLD: A Knowledge Graph Database for Plant Functional Genomics.,"Methods in molecular biology (Clifton, N.J.)",35037225,10.1007/978-1-0716-2067-0_28,both_none_55,https://www.ncbi.nlm.nih.gov/pmc/articles/both_none_55
56,2022 Jan 12,"Yang JJ, Gessner CR, Duerksen JL, Biber D, Binder JL, Ozturk M, Foote B, McEntire R, Stirling K, Ding Y, Wild DJ",Knowledge graph analytics platform with LINCS and IDG for Parkinson's disease target illumination.,BMC bioinformatics,35021991,10.1186/s12859-021-04530-9,PMC8756622,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8756622
57,2022 Jan,"Röttjers L, Faust K",Fast and flexible analysis of linked microbiome data with mako.,Nature methods,34887550,10.1038/s41592-021-01335-9,PMC7612208,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7612208
58,2021 Dec 1,"Ross PB, Song J, Tsao PS, Pan C",Trellis for efficient data and task management in the VA Million Veteran Program.,Scientific reports,34853358,10.1038/s41598-021-02569-5,PMC8636485,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8636485
59,2021 Nov 27,"Trautman A, Linchangco R, Walstead R, Jay JJ, Brouwer C",The Aliment to Bodily Condition knowledgebase (ABCkb): a database connecting plants and human health.,BMC research notes,34838100,10.1186/s13104-021-05835-x,PMC8627056,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8627056
60,2021 Nov 18,"Zhu Q, Nguyễn ÐT, Sheils T, Alyea G, Sid E, Xu Y, Dickens J, Mathé EA, Pariser A",Scientific evidence based rare disease research discovery with research funding data in knowledge graph.,Orphanet journal of rare diseases,34794473,10.1186/s13023-021-02120-9,PMC8600882,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8600882
61,2022 Feb 4,"Jordan KW, Bradbury PJ, Miller ZR, Nyine M, He F, Fraser M, Anderson J, Mason E, Katz A, Pearce S, Carter AH, Prather S, Pumphrey M, Chen J, Cook J, Liu S, Rudd JC, Wang Z, Chu C, Ibrahim AMH, Turkus J, Olson E, Nagarajan R, Carver B, Yan L, Taagen E, Sorrells M, Ward B, Ren J, Akhunova A, Bai G, Bowden R, Fiedler J, Faris J, Dubcovsky J, Guttieri M, Brown-Guedira G, Buckler E, Jannink JL, Akhunov ED",Development of the Wheat Practical Haplotype Graph database as a resource for genotyping data storage and genotype imputation.,"G3 (Bethesda, Md.)",34751373,10.1093/g3journal/jkab390,PMC9210282,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9210282
62,2021,Wu J,Construct a Knowledge Graph for China Coronavirus (COVID-19) Patient Information Tracking.,Risk management and healthcare policy,34707418,10.2147/RMHP.S309732,PMC8544565,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8544565
63,2021 Dec,"Reitz KM, Hall DE, Shinall MC Jr, Shireman PK, Silverstein JC",Using the Unified Medical Language System to Expand the Operative Stress Score - First Use Case.,The Journal of surgical research,34464893,10.1016/j.jss.2021.07.030,PMC8678140,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8678140
64,2021 Aug 25,"Bukhari SAC, Pawar S, Mandell J, Kleinstein SH, Cheung KH",LinkedImm: a linked data graph database for integrating immunological data.,BMC bioinformatics,34433410,10.1186/s12859-021-04031-9,PMC8385794,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8385794
65,2021 Jul,"Ahmed T, Johnson J, Latif Z, Kennedy N, Javier D, Stinson K, Vishwanatha JK",MyNRMN: A national mentoring and networking platform to enhance connectivity and diversity in the biomedical sciences.,FASEB bioAdvances,34258519,10.1096/fba.2020-00102,PMC8255849,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8255849
66,2021 Jul 6,"Brière G, Darbo É, Thébault P, Uricaru R",Consensus clustering applied to multi-omics disease subtyping.,BMC bioinformatics,34229612,10.1186/s12859-021-04279-1,PMC8259015,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8259015
67,2021 Jun 11,"Zawadzka T, Wierciński T, Meller G, Rock M, Zwierzycki R, Wróbel MR",Graph Representation Integrating Signals for Emotion Recognition and Analysis.,"Sensors (Basel, Switzerland)",34208161,10.3390/s21124035,PMC8230955,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8230955
68,2020,Fiaidhi J,Envisioning Insight-Driven Learning Based on Thick Data Analytics With Focus on Healthcare.,"IEEE access : practical innovations, open solutions",34192109,10.1109/ACCESS.2020.2995763,PMC8098810,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8098810
69,2021 Jun 24,"Fahd K, Venkatraman S",Visualizing risk factors of dementia from scholarly literature using knowledge maps and next-generation data models.,"Visual computing for industry, biomedicine, and art",34164753,10.1186/s42492-021-00085-x,PMC8222481,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8222481
70,2021 Jun 22,"Matelsky JK, Reilly EP, Johnson EC, Stiso J, Bassett DS, Wester BA, Gray-Roncal W",DotMotif: an open-source tool for connectome subgraph isomorphism search and graph queries.,Scientific reports,34158519,10.1038/s41598-021-91025-5,PMC8219732,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8219732
71,2021 Aug,"García Del Valle EP, Lagunes García G, Prieto Santamaría L, Zanin M, Menasalvas Ruiz E, Rodríguez-González A",DisMaNET: A network-based tool to cross map disease vocabularies.,Computer methods and programs in biomedicine,34157517,10.1016/j.cmpb.2021.106233,both_none_71,https://www.ncbi.nlm.nih.gov/pmc/articles/both_none_71
72,2021 Apr,"Kashef M, Liu Y, Montgomery K, Candell R",Wireless Cyber-Physical Systems Performance Evaluation through a Graph Database Approach.,Journal of computing and information science in engineering,34135695,10.1115/1.4048205,PMC8201448,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8201448
73,2021 Nov 5,"Nair S, Váradi M, Nadzirin N, Pravda L, Anyango S, Mir S, Berrisford J, Armstrong D, Gutmanas A, Velankar S",PDBe aggregated API: programmatic access to an integrative knowledge graph of molecular structure data.,"Bioinformatics (Oxford, England)",34081107,10.1093/bioinformatics/btab424,PMC8570819,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8570819
74,2021 May 27,"Martinez-Costa C, Abad-Navarro F",Towards a Semantic Data Harmonization Federated Infrastructure.,Studies in health technology and informatics,34042701,10.3233/SHTI210116,both_none_74,https://www.ncbi.nlm.nih.gov/pmc/articles/both_none_74
75,2021 May 27,"Daowd A, Barrett M, Abidi S, Abidi SSR",Building a Knowledge Graph Representing Causal Associations Between Risk Factors and Incidence of Breast Cancer.,Studies in health technology and informatics,34042671,10.3233/SHTI210267,both_none_75,https://www.ncbi.nlm.nih.gov/pmc/articles/both_none_75
76,2021 May 18,"Timón-Reina S, Rincón M, Martínez-Tomás R",An overview of graph databases and their applications in the biomedical domain.,Database : the journal of biological databases and curation,34003247,10.1093/database/baab026,PMC8130509,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8130509
77,2022 Dec,"Chen R, Shu X, Chen J, Weng D, Tang J, Fu S, Wu Y",Nebula: A Coordinating Grammar of Graphics.,IEEE transactions on visualization and computer graphics,33909565,10.1109/TVCG.2021.3076222,both_none_77,https://www.ncbi.nlm.nih.gov/pmc/articles/both_none_77
78,2021 Apr 26,"D'Agostino D, Liò P, Aldinucci M, Merelli I",Advantages of using graph databases to explore chromatin conformation capture experiments.,BMC bioinformatics,33902433,10.1186/s12859-020-03937-0,PMC8073886,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8073886
79,2021 Aug 13,"Du J, Wang Q, Wang J, Ramesh P, Xiang Y, Jiang X, Tao C",COVID-19 trial graph: a linked graph for COVID-19 clinical trials.,Journal of the American Medical Informatics Association : JAMIA,33895839,10.1093/jamia/ocab078,PMC8135317,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8135317
80,2021 Apr 22,"Licheri N, Bonnici V, Beccuti M, Giugno R",GRAPES-DD: exploiting decision diagrams for index-driven search in biological graph databases.,BMC bioinformatics,33888059,10.1186/s12859-021-04129-0,PMC8061067,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8061067
81,2020,"Zhao W, Korobskiy D, Chacko G",Delayed Recognition: A Co-Citation Perspective.,Frontiers in research metrics and analytics,33870050,10.3389/frma.2020.577131,PMC8028384,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8028384
82,2020,"Ambrosiano J, Sims B, Bartlow AW, Rosenberger W, Ressler M, Fair JM",Ontology-Based Graphs of Research Communities: A Tool for Understanding Threat Reduction Networks.,Frontiers in research metrics and analytics,33870041,10.3389/frma.2020.00003,PMC8028387,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8028387
83,2021 May,"Giménez-Solano VM, Maldonado JA, Boscá D, Salas-García S, Robles M",Definition and validation of SNOMED CT subsets using the expression constraint language.,Journal of biomedical informatics,33753269,10.1016/j.jbi.2021.103747,both_none_83,https://www.ncbi.nlm.nih.gov/pmc/articles/both_none_83
84,2021 Feb 22,Friedrichs M,BioDWH2: an automated graph-based data warehouse and mapping tool.,Journal of integrative bioinformatics,33618440,10.1515/jib-2020-0033,PMC8238471,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8238471
85,2021 Feb 22,"Gimadiev T, Nugmanov R, Batyrshin D, Madzhidov T, Maeda S, Sidorov P, Varnek A",Combined Graph/Relational Database Management System for Calculated Chemical Reaction Pathway Data.,Journal of chemical information and modeling,33502186,10.1021/acs.jcim.0c01280,both_none_85,https://www.ncbi.nlm.nih.gov/pmc/articles/both_none_85
86,2021 Jan 22,"Mao Z, Yao H, Zou Q, Zhang W, Dong Y",Digital Contact Tracing Based on a Graph Database Algorithm for Emergency Management During the COVID-19 Epidemic: Case Study.,JMIR mHealth and uHealth,33460389,10.2196/26836,PMC7837510,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7837510
87,2020 Jan 21,"Zahoránszky-Kőhalmi G, Sheils T, Oprea TI",SmartGraph: a network pharmacology investigation platform.,Journal of cheminformatics,33430980,10.1186/s13321-020-0409-9,PMC6974502,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6974502
