,DOI,PMID,PMCID,Shortlist,GDBs,GDBs,Author,Title,Publication Year,Publication Title,ISBN,Abstract Note,Date,Date Added,Pages,Issue,Volume,Journal Abbreviation,Short Title,Library Catalog,Extra,Link Attachments,Automatic Tags,GDBs,GDBs,Labels
206,10.1093/bioinformatics/btx738,29186384,PMC5860622,A,Neo4j,Neo4j,"Castillo-Lara, S.; Abril, J. F.; Castillo-Lara, S; Abril, J F",PlanNET: homology-based predicted interactome for multiple planarian transcriptomes,2018,"Bioinformatics; Bioinformatics (Oxford, England)",,"Motivation Planarians are emerging as a model organism to study regeneration in animals. However, the little available data of protein–protein interactions hinders the advances in understanding the mechanisms underlying its regenerating capabilities. Results We have developed a protocol to predict protein–protein interactions using sequence homology data and a reference Human interactome. This methodology was applied on 11 Schmidtea mediterranea transcriptomic sequence datasets. Then, using Neo4j as our database manager, we developed PlanNET, a web application to explore the multiplicity of networks and the associated sequence annotations. By mapping RNA-seq expression experiments onto the predicted networks, and allowing a transcript-centric exploration of the planarian interactome, we provide researchers with a useful tool to analyse possible pathways and to design new experiments, as well as a reproducible methodology to predict, store, and explore protein interaction networks for non-model organisms. Availability and implementation The web application PlanNET is available at https://compgen.bio.ub.edu/PlanNET. The source code used is available at https://compgen.bio.ub.edu/PlanNET/downloads. Supplementary information  are available at Bioinformatics online.; Motivation: Planarians are emerging as a model organism to study regeneration in animals. However, the little available data of protein-protein interactions hinders the advances in understanding the mechanisms underlying its regenerating capabilities. Results: We have developed a protocol to predict protein-protein interactions using sequence homology data and a reference Human interactome. This methodology was applied on 11 Schmidtea mediterranea transcriptomic sequence datasets. Then, using Neo4j as our database manager, we developed PlanNET, a web application to explore the multiplicity of networks and the associated sequence annotations. By mapping RNA-seq expression experiments onto the predicted networks, and allowing a transcript-centric exploration of the planarian interactome, we provide researchers with a useful tool to analyse possible pathways and to design new experiments, as well as a reproducible methodology to predict, store, and explore protein interaction networks for non-model organisms. Availability and implementation: The web application PlanNET is available at https://compgen.bio.ub.edu/PlanNET. The source code used is available at https://compgen.bio.ub.edu/PlanNET/downloads. Contact: jabril@ub.edu. Supplementary information: Supplementary data are available at Bioinformatics online.",2018-03-15,2021-06-05 21:11:16; 2021-06-05 21:06:22; 2021-06-05 21:16:51; 2021-06-05 20:55:40; 2021-06-05 21:24:28; 2021-06-05 20:36:32,1016-1023,6,34,Bioinformatics,PlanNET,PubMed; PubMed Central,PMID: 29186384 PMCID: PMC5860622,http://www.ncbi.nlm.nih.gov/pubmed/29186384; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5860622/,"Animals; Gene Expression Profiling; Humans; Internet; Planarians; Protein Interaction Maps; Regeneration; Sequence Analysis, RNA; Software",Neo4j,Neo4j,PMC:Query2; PMC:Query3; PMC:Neo4j; PubMed:Neo4j; PubMed:Query2; PubMed:Query3
207,10.1093/bioinformatics/btx739,29186292,PMC6031061,A,Neo4j,Neo4j,"Lekschas, Fritz; Gehlenborg, Nils",SATORI: a system for ontology-guided visual exploration of biomedical data repositories,2018,Bioinformatics,,"Motivation The ever-increasing number of biomedical datasets provides tremendous opportunities for re-use but current data repositories provide limited means of exploration apart from text-based search. Ontological metadata annotations provide context by semantically relating datasets. Visualizing this rich network of relationships can improve the explorability of large data repositories and help researchers find datasets of interest. Results We developed SATORI—an integrative search and visual exploration interface for the exploration of biomedical data repositories. The design is informed by a requirements analysis through a series of semi-structured interviews. We evaluated the implementation of SATORI in a field study on a real-world data collection. SATORI enables researchers to seamlessly search, browse and semantically query data repositories via two visualizations that are highly interconnected with a powerful search interface. Availability and implementation SATORI is an open-source web application, which is freely available at http://satori.refinery-platform.org and integrated into the Refinery Platform. Supplementary information  are available at Bioinformatics online.",2018-04-01,2021-06-05 20:55:40; 2021-06-05 21:11:16; 2021-06-05 20:36:32,1200-1207,7,34,Bioinformatics,SATORI,PubMed Central,PMID: 29186292 PMCID: PMC6031061,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6031061/,,Neo4j,Neo4j,PMC:Query3; PMC:Neo4j; PMC:Query2
208,10.1093/bioinformatics/btx767,29186322,PMC5905645,,,,"Koehorst, Jasper J; van Dam, Jesse C J; Saccenti, Edoardo; Martins dos Santos, Vitor A P; Suarez-Diez, Maria; Schaap, Peter J",SAPP: functional genome annotation and analysis through a semantic framework using FAIR principles,2018,Bioinformatics,,"Summary To unlock the full potential of genome data and to enhance data interoperability and reusability of genome annotations we have developed SAPP, a Semantic Annotation Platform with Provenance. SAPP is designed as an infrastructure supporting FAIR de novo computational genomics but can also be used to process and analyze existing genome annotations. SAPP automatically predicts, tracks and stores structural and functional annotations and associated dataset- and element-wise provenance in a Linked Data format, thereby enabling information mining and retrieval with Semantic Web technologies. This greatly reduces the administrative burden of handling multiple analysis tools and versions thereof and facilitates multi-level large scale comparative analysis. Availability and implementation SAPP is written in JAVA and freely available at https://gitlab.com/sapp and runs on Unix-like operating systems. The documentation, examples and a tutorial are available at https://sapp.gitlab.io.",2018-04-15,2021-06-05 21:11:16,1401-1403,8,34,Bioinformatics,SAPP,PubMed Central,PMID: 29186322 PMCID: PMC5905645,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5905645/,,,,PMC:Query2
209,10.1093/bioinformatics/bty845,30304355,PMC6499247,A,Neo4j,Neo4j,"Pyysalo, Sampo; Baker, Simon; Ali, Imran; Haselwimmer, Stefan; Shah, Tejas; Young, Andrew; Guo, Yufan; Högberg, Johan; Stenius, Ulla; Narita, Masashi; Korhonen, Anna",LION LBD: a literature-based discovery system for cancer biology,2019,Bioinformatics,,"Motivation The overwhelming size and rapid growth of the biomedical literature make it impossible for scientists to read all studies related to their work, potentially leading to missed connections and wasted time and resources. Literature-based discovery (LBD) aims to alleviate these issues by identifying implicit links between disjoint parts of the literature. While LBD has been studied in depth since its introduction three decades ago, there has been limited work making use of recent advances in biomedical text processing methods in LBD. Results We present LION LBD, a literature-based discovery system that enables researchers to navigate published information and supports hypothesis generation and testing. The system is built with a particular focus on the molecular biology of cancer using state-of-the-art machine learning and natural language processing methods, including named entity recognition and grounding to domain ontologies covering a wide range of entity types and a novel approach to detecting references to the hallmarks of cancer in text. LION LBD implements a broad selection of co-occurrence based metrics for analyzing the strength of entity associations, and its design allows real-time search to discover indirect associations between entities in a database of tens of millions of publications while preserving the ability of users to explore each mention in its original context in the literature. Evaluations of the system demonstrate its ability to identify undiscovered links and rank relevant concepts highly among potential connections. Availability and implementation The LION LBD system is available via a web-based user interface and a programmable API, and all components of the system are made available under open licenses from the project home page http://lbd.lionproject.net. Supplementary information  are available at Bioinformatics online.",2019-05-01,2021-06-05 20:55:01; 2021-06-05 21:11:16; 2021-06-05 20:36:32,1553-1561,9,35,Bioinformatics,LION LBD,PubMed Central,PMID: 30304355 PMCID: PMC6499247,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6499247/,,Neo4j,Neo4j,PMC:Query3; PMC:Neo4j; PMC:Query2
210,10.1093/bioinformatics/btz050,30689784,,A,Neo4j,Neo4j,"Maiers, Martin; Halagan, Michael; Gragert, Loren; Bashyal, Pradeep; Brelsford, Jason; Schneider, Joel; Lutsker, Polina; Louzoun, Yoram",GRIMM: GRaph IMputation and matching for HLA genotypes,2019,"Bioinformatics (Oxford, England)",,"MOTIVATION: For over 10 years allele-level HLA matching for bone marrow registries has been performed in a probabilistic context. HLA typing technologies provide ambiguous results in that they could not distinguish among all known HLA alleles equences; therefore registries have implemented matching algorithms that provide lists of donor and cord blood units ordered in terms of the likelihood of allele-level matching at specific HLA loci. With the growth of registry sizes, current match algorithm implementations are unable to provide match results in real time. RESULTS: We present here a novel computationally-efficient open source implementation of an HLA imputation and match algorithm using a graph database platform. Using graph traversal, the matching algorithm runtime is practically not affected by registry size. This implementation generates results that agree with consensus output on a publicly-available match algorithm cross-validation dataset. AVAILABILITY AND IMPLEMENTATION: The Python, Perl and Neo4j code is available at https://github.com/nmdp-bioinformatics/grimm. SUPPLEMENTARY INFORMATION: Supplementary data are available at Bioinformatics online.",2019-09-15,2021-06-05 21:24:28; 2021-06-05 21:06:22; 2021-06-05 21:16:51,3520-3523,18,35,Bioinformatics,GRIMM,PubMed,PMID: 30689784,http://www.ncbi.nlm.nih.gov/pubmed/30689784,Genotype; Histocompatibility Testing; HLA Antigens; Humans; Tissue Donors,Neo4j,Neo4j,PubMed:Neo4j; PubMed:Query3; PubMed:Query2
211,10.1093/bioinformatics/btz260,30994884,,A,,,"Aguilera-Mendoza, Longendri; Marrero-Ponce, Yovani; Beltran, Jesus A.; Tellez Ibarra, Roberto; Guillen-Ramirez, Hugo A.; Brizuela, Carlos A.",Graph-based data integration from bioactive peptide databases of pharmaceutical interest: toward an organized collection enabling visual network analysis,2019,"Bioinformatics (Oxford, England)",,"MOTIVATION: Bioactive peptides have gained great attention in the academy and pharmaceutical industry since they play an important role in human health. However, the increasing number of bioactive peptide databases is causing the problem of data redundancy and duplicated efforts. Even worse is the fact that the available data is non-standardized and often dirty with data entry errors. Therefore, there is a need for a unified view that enables a more comprehensive analysis of the information on this topic residing at different sites. RESULTS: After collecting web pages from a large variety of bioactive peptide databases, we organized the web content into an integrated graph database (starPepDB) that holds a total of 71 310 nodes and 348 505 relationships. In this graph structure, there are 45 120 nodes representing peptides, and the rest of the nodes are connected to peptides for describing metadata. Additionally, to facilitate a better understanding of the integrated data, a software tool (starPep toolbox) has been developed for supporting visual network analysis in a user-friendly way; providing several functionalities such as peptide retrieval and filtering, network construction and visualization, interactive exploration and exporting data options. AVAILABILITY AND IMPLEMENTATION: Both starPepDB and starPep toolbox are freely available at http://mobiosd-hub.com/starpep/. SUPPLEMENTARY INFORMATION: Supplementary data are available at Bioinformatics online.",2019-11-01,2021-06-05 21:06:22,4739-4747,22,35,Bioinformatics,Graph-based data integration from bioactive peptide databases of pharmaceutical interest,PubMed,PMID: 30994884,http://www.ncbi.nlm.nih.gov/pubmed/30994884,"Databases, Factual; Humans; Metadata; Peptides; Pharmaceutical Preparations; Software",,,PubMed:Query2
212,10.1093/bioinformatics/btz604,31410449,PMC6954664,A,Neo4j,Neo4j,"Morton, Kenneth; Wang, Patrick; Bizon, Chris; Cox, Steven; Balhoff, James; Kebede, Yaphet; Fecho, Karamarie; Tropsha, Alexander",ROBOKOP: an abstraction layer and user interface for knowledge graphs to support question answering,2019,"Bioinformatics; Bioinformatics (Oxford, England)",,"Summary Knowledge graphs (KGs) are quickly becoming a common-place tool for storing relationships between entities from which higher-level reasoning can be conducted. KGs are typically stored in a graph-database format, and graph-database queries can be used to answer questions of interest that have been posed by users such as biomedical researchers. For simple queries, the inclusion of direct connections in the KG and the storage and analysis of query results are straightforward; however, for complex queries, these capabilities become exponentially more challenging with each increase in complexity of the query. For instance, one relatively complex query can yield a KG with hundreds of thousands of query results. Thus, the ability to efficiently query, store, rank and explore sub-graphs of a complex KG represents a major challenge to any effort designed to exploit the use of KGs for applications in biomedical research and other domains. We present Reasoning Over Biomedical Objects linked in Knowledge Oriented Pathways as an abstraction layer and user interface to more easily query KGs and store, rank and explore query results. Availability and implementation An instance of the ROBOKOP UI for exploration of the ROBOKOP Knowledge Graph can be found at http://robokop.renci.org. The ROBOKOP Knowledge Graph can be accessed at http://robokopkg.renci.org. Code and instructions for building and deploying ROBOKOP are available under the MIT open software license from https://github.com/NCATS-Gamma/robokop. Supplementary information  are available at Bioinformatics online.; SUMMARY: Knowledge graphs (KGs) are quickly becoming a common-place tool for storing relationships between entities from which higher-level reasoning can be conducted. KGs are typically stored in a graph-database format, and graph-database queries can be used to answer questions of interest that have been posed by users such as biomedical researchers. For simple queries, the inclusion of direct connections in the KG and the storage and analysis of query results are straightforward; however, for complex queries, these capabilities become exponentially more challenging with each increase in complexity of the query. For instance, one relatively complex query can yield a KG with hundreds of thousands of query results. Thus, the ability to efficiently query, store, rank and explore sub-graphs of a complex KG represents a major challenge to any effort designed to exploit the use of KGs for applications in biomedical research and other domains. We present Reasoning Over Biomedical Objects linked in Knowledge Oriented Pathways as an abstraction layer and user interface to more easily query KGs and store, rank and explore query results. AVAILABILITY AND IMPLEMENTATION: An instance of the ROBOKOP UI for exploration of the ROBOKOP Knowledge Graph can be found at http://robokop.renci.org. The ROBOKOP Knowledge Graph can be accessed at http://robokopkg.renci.org. Code and instructions for building and deploying ROBOKOP are available under the MIT open software license from https://github.com/NCATS-Gamma/robokop. SUPPLEMENTARY INFORMATION: Supplementary data are available at Bioinformatics online.",2019-12-15,2021-06-05 20:55:01; 2021-06-05 21:06:22; 2021-06-05 20:36:32; 2021-06-05 21:10:37,5382-5384,24,35,Bioinformatics,ROBOKOP,PubMed; PubMed Central,PMID: 31410449 PMCID: PMC6954664,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6954664/; http://www.ncbi.nlm.nih.gov/pubmed/31410449,"Databases, Factual; Pattern Recognition, Automated; Software",Neo4j,Neo4j,PMC:Query3; PMC:Neo4j; PubMed:Query2; PMC:Query2
213,10.1093/bioinformatics/btz658,31504165,,A,Neo4j,Neo4j,"Lose, Thoba; van Heusden, Peter; Christoffels, Alan",COMBAT-TB-NeoDB: fostering tuberculosis research through integrative analysis using graph database technologies,2020,"Bioinformatics (Oxford, England)",,"MOTIVATION: Recent advancements in genomic technologies have enabled high throughput cost-effective generation of 'omics' data from M.tuberculosis (M.tb) isolates, which then gets shared via a number of heterogeneous publicly available biological databases. Albeit useful, fragmented curation negatively impacts the researcher's ability to leverage the data via federated queries. RESULTS: We present Combat-TB-NeoDB, an integrated M.tb 'omics' knowledge-base. Combat-TB-NeoDB is based on Neo4j and was created by binding the labeled property graph model to a suitable ontology namely Chado. Combat-TB-NeoDB enables researchers to execute complex federated queries by linking prominent biological databases, and supplementary M.tb variants data from published literature. AVAILABILITY AND IMPLEMENTATION: The Combat-TB-NeoDB (https://neodb.sanbi.ac.za) repository and all tools mentioned in this manuscript are freely available at https://github.com/COMBAT-TB. SUPPLEMENTARY INFORMATION: Supplementary data are available at Bioinformatics online.",2020-02-01,2021-06-05 21:24:28; 2021-06-05 21:06:22; 2021-06-05 21:16:51,982-983,3,36,Bioinformatics,COMBAT-TB-NeoDB,PubMed,PMID: 31504165,http://www.ncbi.nlm.nih.gov/pubmed/31504165,"Databases, Factual; Genome; Genomics; Humans; Mycobacterium tuberculosis; Software; Tuberculosis",Neo4j,Neo4j,PubMed:Neo4j; PubMed:Query3; PubMed:Query2
214,10.1093/brain/awz248,31501903,PMC6763744,,,,"Efthymiou, Stephanie; Salpietro, Vincenzo; Malintan, Nancy; Poncelet, Mallory; Kriouile, Yamna; Fortuna, Sara; De Zorzi, Rita; Payne, Katelyn; Henderson, Lindsay B; Cortese, Andrea; Maddirevula, Sateesh; Alhashmi, Nadia; Wiethoff, Sarah; Ryten, Mina; Botia, Juan A; Provitera, Vincenzo; Schuelke, Markus; Vandrovcova, Jana; Walsh, Laurence; Torti, Erin; Iodice, Valeria; Najafi, Maryam; Karimiani, Ehsan Ghayoor; Maroofian, Reza; Siquier-Pernet, Karine; Boddaert, Nathalie; De Lonlay, Pascale; Cantagrel, Vincent; Aguennouz, Mhammed; El Khorassani, Mohamed; Schmidts, Miriam; Alkuraya, Fowzan S; Edvardson, Simon; Nolano, Maria; Devaux, Jérôme; Houlden, Henry",Biallelic mutations in neurofascin cause neurodevelopmental impairment and peripheral demyelination,2019,Brain,,"See Karakaya and Wirth (doi:10.1093/brain/awz273) for a scientific commentary on this article., Neurofascin (NFASC) isoforms are immunoglobulin cell adhesion molecules involved in node of Ranvier assembly. Efthymiou et al. identify biallelic NFASC variants in ten unrelated patients with a neurodevelopmental disorder characterized by variable degrees of central and peripheral involvement. Abnormal expression of Nfasc155 is accompanied by severe loss of myelinated fibres., Axon pathfinding and synapse formation are essential processes for nervous system development and function. The assembly of myelinated fibres and nodes of Ranvier is mediated by a number of cell adhesion molecules of the immunoglobulin superfamily including neurofascin, encoded by the NFASC gene, and its alternative isoforms Nfasc186 and Nfasc140 (located in the axonal membrane at the node of Ranvier) and Nfasc155 (a glial component of the paranodal axoglial junction). We identified 10 individuals from six unrelated families, exhibiting a neurodevelopmental disorder characterized with a spectrum of central (intellectual disability, developmental delay, motor impairment, speech difficulties) and peripheral (early onset demyelinating neuropathy) neurological involvement, who were found by exome or genome sequencing to carry one frameshift and four different homozygous non-synonymous variants in NFASC. Expression studies using immunostaining-based techniques identified absent expression of the Nfasc155 isoform as a consequence of the frameshift variant and a significant reduction of expression was also observed in association with two non-synonymous variants affecting the fibronectin type III domain. Cell aggregation studies revealed a severely impaired Nfasc155-CNTN1/CASPR1 complex interaction as a result of the identified variants. Immunofluorescence staining of myelinated fibres from two affected individuals showed a severe loss of myelinated fibres and abnormalities in the paranodal junction morphology. Our results establish that recessive variants affecting the Nfasc155 isoform can affect the formation of paranodal axoglial junctions at the nodes of Ranvier. The genetic disease caused by biallelic NFASC variants includes neurodevelopmental impairment and a spectrum of central and peripheral demyelination as part of its core clinical phenotype. Our findings support possible overlapping molecular mechanisms of paranodal damage at peripheral nerves in both the immune-mediated and the genetic disease, but the observation of prominent central neurological involvement in NFASC biallelic variant carriers highlights the importance of this gene in human brain development and function.",2019-10,2021-06-05 21:10:37,2948-2964,10,142,Brain,,PubMed Central,PMID: 31501903 PMCID: PMC6763744,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6763744/,,,,PMC:Query2
215,10.1093/database/baaa015,32283553,PMC7153956,A,Neo4j,Neo4j,"Queralt-Rosinach, Núria; Stupp, Gregory S; Li, Tong Shu; Mayers, Michael; Hoatlin, Maureen E; Might, Matthew; Good, Benjamin M; Su, Andrew I; Queralt-Rosinach, Núria; Stupp, Gregory S.; Li, Tong Shu; Mayers, Michael; Hoatlin, Maureen E.; Might, Matthew; Good, Benjamin M.; Su, Andrew I.",Structured reviews for data and knowledge-driven research,2020,Database: The Journal of Biological Databases and Curation,,"Hypothesis generation is a critical step in research and a cornerstone in the rare disease field. Research is most efficient when those hypotheses are based on the entirety of knowledge known to date. Systematic review articles are commonly used in biomedicine to summarize existing knowledge and contextualize experimental data. But the information contained within review articles is typically only expressed as free-text, which is difficult to use computationally. Researchers struggle to navigate, collect and remix prior knowledge as it is scattered in several silos without seamless integration and access. This lack of a structured information framework hinders research by both experimental and computational scientists. To better organize knowledge and data, we built a structured review article that is specifically focused on NGLY1 Deficiency, an ultra-rare genetic disease first reported in 2012. We represented this structured review as a knowledge graph and then stored this knowledge graph in a Neo4j database to simplify dissemination, querying and visualization of the network. Relative to free-text, this structured review better promotes the principles of findability, accessibility, interoperability and reusability (FAIR). In collaboration with domain experts in NGLY1 Deficiency, we demonstrate how this resource can improve the efficiency and comprehensiveness of hypothesis generation. We also developed a read-write interface that allows domain experts to contribute FAIR structured knowledge to this community resource. In contrast to traditional free-text review articles, this structured review exists as a living knowledge graph that is curated by humans and accessible to computational analyses. Finally, we have generalized this workflow into modular and repurposable components that can be applied to other domain areas. This NGLY1 Deficiency-focused network is publicly available at http://ngly1graph.org/. AVAILABILITY AND IMPLEMENTATION: Database URL: http://ngly1graph.org/. Network data files are at: https://github.com/SuLab/ngly1-graph and source code at: https://github.com/SuLab/bioknowledge-reviewer. CONTACT: asu@scripps.edu.; Hypothesis generation is a critical step in research and a cornerstone in the rare disease field. Research is most efficient when those hypotheses are based on the entirety of knowledge known to date. Systematic review articles are commonly used in biomedicine to summarize existing knowledge and contextualize experimental data. But the information contained within review articles is typically only expressed as free-text, which is difficult to use computationally. Researchers struggle to navigate, collect and remix prior knowledge as it is scattered in several silos without seamless integration and access. This lack of a structured information framework hinders research by both experimental and computational scientists. To better organize knowledge and data, we built a structured review article that is specifically focused on NGLY1 Deficiency, an ultra-rare genetic disease first reported in 2012. We represented this structured review as a knowledge graph and then stored this knowledge graph in a Neo4j database to simplify dissemination, querying and visualization of the network. Relative to free-text, this structured review better promotes the principles of findability, accessibility, interoperability and reusability (FAIR). In collaboration with domain experts in NGLY1 Deficiency, we demonstrate how this resource can improve the efficiency and comprehensiveness of hypothesis generation. We also developed a read–write interface that allows domain experts to contribute FAIR structured knowledge to this community resource. In contrast to traditional free-text review articles, this structured review exists as a living knowledge graph that is curated by humans and accessible to computational analyses. Finally, we have generalized this workflow into modular and repurposable components that can be applied to other domain areas. This NGLY1 Deficiency-focused network is publicly available at http://ngly1graph.org/. Availability and implementation Database URL: http://ngly1graph.org/. Network data files are at: https://github.com/SuLab/ngly1-graph and source code at: https://github.com/SuLab/bioknowledge-reviewer. Contact asu@scripps.edu",2020-04-11; 2020-01-01,2021-06-05 20:35:57; 2021-06-05 20:54:31; 2021-06-05 21:10:08; 2021-06-05 21:06:22; 2021-06-05 21:16:51; 2021-06-05 21:24:28,,,2020,Database (Oxford),,PubMed; PubMed Central,PMID: 32283553 PMCID: PMC7153956,http://www.ncbi.nlm.nih.gov/pubmed/32283553; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7153956/,"Animals; Biomedical Research; Computational Biology; Congenital Disorders of Glycosylation; Data Curation; Data Mining; Databases, Factual; Humans; Internet; Knowledge Bases; Peptide-N4-(N-acetyl-beta-glucosaminyl) Asparagine Amidase; Systematic Reviews as Topic",Neo4j,Neo4j,PMC:Query2; PMC:Query3; PMC:Neo4j; PubMed:Neo4j; PubMed:Query2; PubMed:Query3
216,10.1093/database/baaa018,32294194,PMC7158887,A,Neo4j,Neo4j,"Cowman, Tyler; Coşkun, Mustafa; Grama, Ananth; Koyutürk, Mehmet",Integrated querying and version control of context-specific biological networks,2020,Database: The Journal of Biological Databases and Curation,,"Motivation Biomolecular data stored in public databases is increasingly specialized to organisms, context/pathology and tissue type, potentially resulting in significant overhead for analyses. These networks are often specializations of generic interaction sets, presenting opportunities for reducing storage and computational cost. Therefore, it is desirable to develop effective compression and storage techniques, along with efficient algorithms and a flexible query interface capable of operating on compressed data structures. Current graph databases offer varying levels of support for network integration. However, these solutions do not provide efficient methods for the storage and querying of versioned networks. Results We present VerTIoN, a framework consisting of novel data structures and associated query mechanisms for integrated querying of versioned context-specific biological networks. As a use case for our framework, we study network proximity queries in which the user can select and compose a combination of tissue-specific and generic networks. Using our compressed version tree data structure, in conjunction with state-of-the-art numerical techniques, we demonstrate real-time querying of large network databases. Conclusion Our results show that it is possible to support flexible queries defined on heterogeneous networks composed at query time while drastically reducing response time for multiple simultaneous queries. The flexibility offered by VerTIoN in composing integrated network versions opens significant new avenues for the utilization of ever increasing volume of context-specific network data in a broad range of biomedical applications. Availability and Implementation VerTIoN is implemented as a C++ library and is available at http://compbio.case.edu/omics/software/vertion and https://github.com/tjcowman/vertion Contact tyler.cowman@case.edu; MOTIVATION: Biomolecular data stored in public databases is increasingly specialized to organisms, context/pathology and tissue type, potentially resulting in significant overhead for analyses. These networks are often specializations of generic interaction sets, presenting opportunities for reducing storage and computational cost. Therefore, it is desirable to develop effective compression and storage techniques, along with efficient algorithms and a flexible query interface capable of operating on compressed data structures. Current graph databases offer varying levels of support for network integration. However, these solutions do not provide efficient methods for the storage and querying of versioned networks. RESULTS: We present VerTIoN, a framework consisting of novel data structures and associated query mechanisms for integrated querying of versioned context-specific biological networks. As a use case for our framework, we study network proximity queries in which the user can select and compose a combination of tissue-specific and generic networks. Using our compressed version tree data structure, in conjunction with state-of-the-art numerical techniques, we demonstrate real-time querying of large network databases. CONCLUSION: Our results show that it is possible to support flexible queries defined on heterogeneous networks composed at query time while drastically reducing response time for multiple simultaneous queries. The flexibility offered by VerTIoN in composing integrated network versions opens significant new avenues for the utilization of ever increasing volume of context-specific network data in a broad range of biomedical applications. AVAILABILITY AND IMPLEMENTATION: VerTIoN is implemented as a C++ library and is available at http://compbio.case.edu/omics/software/vertion and https://github.com/tjcowman/vertion. CONTACT: tyler.cowman@case.edu.",2020-04-15; 2020-01-01,2021-06-05 20:35:57; 2021-06-05 21:06:22; 2021-06-05 20:54:31; 2021-06-05 21:10:08,,,2020,Database (Oxford),,PubMed; PubMed Central,PMID: 32294194 PMCID: PMC7158887,http://www.ncbi.nlm.nih.gov/pubmed/32294194; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7158887/,"Algorithms; Computational Biology; Data Curation; Data Mining; Databases, Factual; Gene Regulatory Networks; Humans; Internet; Protein Interaction Maps; User-Computer Interface",Neo4j,Neo4j,PMC:Query3; PMC:Neo4j; PubMed:Query2; PMC:Query2
217,10.1093/database/baaa034,32449511,PMC7246345,,,,"Holliday, Gemma L; Brown, Shoshana D; Mischel, David; Polacco, Benjamin J; Babbitt, Patricia C",A strategy for large-scale comparison of evolutionary- and reaction-based classifications of enzyme function,2020,Database: The Journal of Biological Databases and Curation,,"Determining the molecular function of enzymes discovered by genome sequencing represents a primary foundation for understanding many aspects of biology. Historically, classification of enzyme reactions has used the enzyme nomenclature system developed to describe the overall reactions performed by biochemically characterized enzymes, irrespective of their associated sequences. In contrast, functional classification and assignment for the millions of protein sequences of unknown function now available is largely done in two computational steps, first by similarity-based assignment of newly obtained sequences to homologous groups, followed by transferring to them the known functions of similar biochemically characterized homologs. Due to the fundamental differences in their etiologies and practice, `how’ these chemistry- and evolution-centric functional classification systems relate to each other has been difficult to explore on a large scale. To investigate this issue in a new way, we integrated two published ontologies that had previously described each of these classification systems independently. The resulting infrastructure was then used to compare the functional assignments obtained from each classification system for the well-studied and functionally diverse enolase superfamily. Mapping these function assignments to protein structure and reaction similarity networks shows a profound and complex disconnect between the homology- and chemistry-based classification systems. This conclusion mirrors previous observations suggesting that except for closely related sequences, facile annotation transfer from small numbers of characterized enzymes to the huge number uncharacterized homologs to which they are related is problematic. Our extension of these comparisons to large enzyme superfamilies in a computationally intelligent manner provides a foundation for new directions in protein function prediction for the huge proportion of sequences of unknown function represented in major databases. Interactive sequence, reaction, substrate and product similarity networks computed for this work for the enolase and two other superfamilies are freely available for download from the Structure Function Linkage Database Archive (http://sfld.rbvi.ucsf.edu).",2020-05-25,2021-06-05 21:10:08,,,2020,Database (Oxford),,PubMed Central,PMID: 32449511 PMCID: PMC7246345,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7246345/,,,,PMC:Query2
