PMID,PMCID,DOI,Link Attachments,Title,1st B-Shortlist,2nd B-Shortlist,final decision,Category - 1st reviewer,Category - 2nd reviewer,Resource name,Availability,Updates,Used DB,Content,Reason for including/ excluding,Keywords,Reviewer keyword annotations,MeSH terms,Date,Author,Publication Title
33071769,PMC7531015,10.3389/fninf.2020.00036,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7531015/; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7531015; http://www.ncbi.nlm.nih.gov/pubmed/33071769,The International Neuromodulation Registry: An Informatics Framework Supporting Cohort Discovery and Analysis.; The International Neuromodulation Registry: An Informatics Framework Supporting Cohort Discovery and Analysis,N,Y?,N,INTEGRATED,INTEGRATED,International Neuromodulation Registry (INR),https://neuromodulationregistry.org/,,Neo4j,Data aggregation and comparison,excluded: out of scope,transcranial magnetic stimulation; responsive neurostimulation; spinal cord stimulation; deep brain stimulation; graph database,Neuroinformatics,,2020; 2020-09-18,"Brown, Jefferson R.; Wilburn, Jack T.; Hegman, John C.; Hedges DM, Hegman JC, Brown JR, Wilburn JT, Chapman BE, Butson CR; Chapman, Brian E.; Hedges, David M.; Butson, Christopher R.",Frontiers in Neuroinformatics; Frontiers in neuroinformatics
32646496,PMC7346328,10.1186/s12911-020-1112-5,http://www.ncbi.nlm.nih.gov/pubmed/32646496; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7346328/; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7346328,KGHC: a knowledge graph for hepatocellular carcinoma.; KGHC: a knowledge graph for hepatocellular carcinoma,N,N,N,OTHERS,OTHERS,KGHC,http://202.118.75.18:18895/browser/,Does not work,Neo4j,hepatocellular carcinoma network,excluded: out of scope,Knowledge graph; Hepatocellular carcinoma; Information extraction,Systems Biology,"Liver Neoplasms; Knowledge Bases; Pattern Recognition, Automated; Humans; Carcinoma, Hepatocellular; Information Storage and Retrieval",2020 Jul 9; 2020-07-09,"Luo, Ling; Yang, Zhihao; Li N, Yang Z, Luo L, Wang L, Zhang Y, Lin H, Wang J; Lin, Hongfei; Wang, Jian; Zhang, Yin; Li, Nan; Wang, Lei",BMC medical informatics and decision making; BMC Medical Informatics and Decision Making
32477687,PMC7233060,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7233060; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7233060/; http://www.ncbi.nlm.nih.gov/pubmed/32477687,Can Neo4j Replace PostgreSQL in Healthcare?,N,YY,Y,REVIEW,OTHERS,,,,Neo4j; AllegroGraph,A review on the use of Neo4j compared to PostgreSQL in healthcare,included: It gives arguments in favor of using GDBs vs relational databases with respect to a specific bioinformatics issue (storing medical records),,Health care; medical records,,2020; 2020-05-30,"Nguyen, Andrew; Stothers, Jessica A. M.; Stothers JAM, Nguyen A",AMIA Summits on Translational Science Proceedings; AMIA Joint Summits on Translational Science proceedings. AMIA Joint Summits on Translational Science
32391910,PMC7213554,10.1093/gigascience/giaa039,http://www.ncbi.nlm.nih.gov/pubmed/32391910; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7213554; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7213554/,Biospytial: spatial graph-based computing for ecological Big Data; Biospytial: spatial graph-based computing for ecological Big Data.,N,Y,N,INTEGRATED,INTEGRATED,Biospytial,https://github.com/molgor/biospytial,,Neo4j,Ecological bid data,excluded: out of scope,open science; spatial data infrastructure; biodiversity informatics; big ecological data; ecological knowledge engine,Ecology,"Ecology; Models, Theoretical; Geography; Big Data; Software; Databases, Factual",2020-05-11; 2020 May 1; 2020-05-01,"Escamilla Molgora, Juan M; Escamilla Molgora JM, Sedda L, Atkinson PM; Sedda, Luigi; Atkinson, Peter M.; Atkinson, Peter M; Escamilla Molgora, Juan M.",GigaScience
32294194,PMC7158887,10.1093/database/baaa018,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7158887/; http://www.ncbi.nlm.nih.gov/pubmed/32294194; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7158887,Integrated querying and version control of context-specific biological networks; Integrated querying and version control of context-specific biological networks.,N?,N,N,INTEGRATED,INTEGRATED,VERTION,,,Neo4j,Tissue-specific networks,excluded: out of scope,,Network biology,"Gene Regulatory Networks; User-Computer Interface; Data Mining [methods]; Protein Interaction Maps; Internet; Humans; Algorithms; Computational Biology [methods]; Data Curation [methods]; Databases, Factual",2020-04-15; 2020-01-01; 2020 Jan 1,"Cowman T, Coşkun M, Grama A, Koyutürk M; Grama, Ananth; Cowman, Tyler; Coşkun, Mustafa; Koyutürk, Mehmet",Database: The Journal of Biological Databases and Curation; Database : the journal of biological databases and curation
32283553,PMC7153956,10.1093/database/baaa015,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7153956/; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7153956; http://www.ncbi.nlm.nih.gov/pubmed/32283553,Structured reviews for data and knowledge-driven research; Structured reviews for data and knowledge-driven research.,Y?,Y,N,METHOD,METHOD,NGLY1 Deficiency graph,https://github.com/SuLab/ngly1-graph#the-ngly1-deficiency-knowledge-graph,,Neo4j,FAIR; A structured review article; NGLY1 Deficiency,excluded: out of scope,,Structured review,"Systematic Reviews as Topic; Biomedical Research [methods]; Congenital Disorders of Glycosylation [genetics]; Knowledge Bases; Data Mining [methods]; Databases, Factual; Internet; Humans; Peptide-N4-(N-acetyl-beta-glucosaminyl) Asparagine Amidase [deficiency]; Computational Biology [methods]; Data Curation [methods]; Animals",2020-04-11; 2020-01-01; 2020 Jan 1,"Stupp, Gregory S; Queralt-Rosinach N, Stupp GS, Li TS, Mayers M, Hoatlin ME, Might M, Good BM, Su AI; Li, Tong Shu; Su, Andrew I; Mayers, Michael; Stupp, Gregory S.; Good, Benjamin M.; Su, Andrew I.; Might, Matthew; Hoatlin, Maureen E.; Queralt-Rosinach, Núria; Hoatlin, Maureen E; Good, Benjamin M",Database: The Journal of Biological Databases and Curation; Database : the journal of biological databases and curation
32117417,PMC6989550,10.3389/fgene.2019.01366,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6989550/; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6989550; http://www.ncbi.nlm.nih.gov/pubmed/32117417,NG-Tax 2.0: A Semantic Framework for High-Throughput Amplicon Analysis.; NG-Tax 2.0: A Semantic Framework for High-Throughput Amplicon Analysis,N,Y?,Y,ONTOLOGY,ONTOLOGY,NG-Tax 2.0,http://wurssb.gitlab.io/ngtax,,RDF,FAIR high-throughput analysis and classification of marker gene amplicon sequences,"included: the GDB structure is backed by an ontology, which is interesting compared to other less formalized data models",ontology; taxonomic classification; operational taxonomic unit; SPARQL; amplicon sequence variants; RDF; FAIR; semantic web,Genetics; computational biology,,2019; 2020-01-23,"Poncheewin, Wasin; Koehorst, Jasper J.; Smidt, Hauke; Poncheewin W, Hermes GDA, van Dam JCJ, Koehorst JJ, Smidt H, Schaap PJ; van Dam, Jesse C. J.; Hermes, Gerben D. A.; Schaap, Peter J.",Frontiers in genetics; Frontiers in Genetics
32097025,PMC7049249,10.1200/CCI.19.00110,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7049249/; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7049249; http://www.ncbi.nlm.nih.gov/pubmed/32097025,Exploring Integrative Analysis Using the BioMedical Evidence Graph.; Exploring Integrative Analysis Using the BioMedical Evidence Graph,Y,Y,Y,INTEGRATED,INTEGRATED,BioMedical Evidence Graph (BMEG),bmeg.io,,Custom,"Includes Pathway Commons data; Cancer; Gene expression and mutation data with drug-response experiments, pathway information databases, and literature-derived associations",included: sample-level molecular and clinical information is connected to reference knowledge bases.,,SB:Cancer,"Gene Regulatory Networks; Signal Transduction; Medical Informatics; Biomarkers, Tumor [genetics]; Neoplasms [diagnosis]; Computer Graphics; Humans; Antineoplastic Agents [therapeutic use]; Computational Biology [methods]; Gene Expression Regulation, Neoplastic [drug effects]; Databases, Factual",2020 Feb; 2020-02; 2020-02-25,"Lee, Jordan A.; Ellrott, Kyle; Buchanan, Alexander; Struck, Adam; Stuart, Joshua M.; Walsh, Brian; Struck A, Walsh B, Buchanan A, Lee JA, Spangler R, Stuart JM, Ellrott K; Spangler, Ryan",JCO clinical cancer informatics; JCO Clinical Cancer Informatics
32055858,PMC7018612,10.1093/database/baz162,http://www.ncbi.nlm.nih.gov/pubmed/32055858; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7018612/; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7018612,GREG—studying transcriptional regulation using integrative graph databases; GREG-studying transcriptional regulation using integrative graph databases; GREG-studying transcriptional regulation using integrative graph databases.,Y,Y,Y,INTEGRATED,INTEGRATED,GREG (The Gene Regulation Graph Database),http://www.moralab.science/GREG/,,Neo4j,Multiple resources used,included: an integrated graph database for exploring gene regulatory mechanisms,,Gene regulation; Transcriptional regulation,"RNA, Long Noncoding; Databases, Genetic; Molecular Sequence Annotation; Database Management Systems; Transcription Factors [genetics]; Cell Line, Tumor; Humans; Pulmonary Disease, Chronic Obstructive [genetics]; Gene Expression Regulation [genetics]; Genomics",2020-02-13; 2020-01-01; 2020 Jan 1,"Huang, Xiaowei; Mei, Songqing; Xie, Chengshu; Mora, Antonio; Mei S, Huang X, Xie C, Mora A",Database: The Journal of Biological Databases and Curation; Database : the journal of biological databases and curation
32046238,PMC7037767,10.3390/ijerph17031066,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7037767; http://www.ncbi.nlm.nih.gov/pubmed/32046238; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7037767/,Information Management in Healthcare and Environment: Towards an Automatic System for Fake News Detection.; Information Management in Healthcare and Environment: Towards an Automatic System for Fake News Detection,N,N,N,OTHERS,OTHERS,,,,,Information management,excluded: out of scope,fake news; healthcare; graph; environment; reinforcement learning,"News, Information management",Communications Media; Health Literacy; Health Behavior; Social Media; Consumer Health Information; Online Social Networking; Internet; Humans; Global Health; Algorithms; Environmental Health; Information Management,2020 Feb 8; 2020-02-08; 2020-02,"Lara-Navarra P, Falciani H, Sánchez-Pérez EA, Ferrer-Sapena A; Sánchez-Pérez, Enrique A.; Falciani, Hervé; Lara-Navarra, Pablo; Ferrer-Sapena, Antonia",International journal of environmental research and public health; International Journal of Environmental Research and Public Health
31724275,PMC6933861,10.1002/pro.3786,http://www.ncbi.nlm.nih.gov/pubmed/31724275; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6933861/; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6933861,"New tools in MolProbity validation: CaBLAM for CryoEM backbone, UnDowser to rethink ""waters,"" and NGL Viewer to recapture online 3D graphics; New tools in MolProbity validation: CaBLAM for CryoEM backbone, UnDowser to rethink ""waters,"" and NGL Viewer to recapture online 3D graphics.; New tools in MolProbity validation: CaBLAM for CryoEM backbone, UnDowser to rethink “waters,” and NGL Viewer to recapture online 3D graphics",Y?,N,N,SOFTWARE,SOFTWARE,MolProbity,,,Neo4j,macromolecular model validation,excluded: no GDB use,Neo4j; structure validation; water analysis; chiral volumes; ion binding; overfitting; server security; Ramachandran restraints; backbone conformation,Structural biology,"Macromolecular Substances [chemistry]; Cryoelectron Microscopy; Crystallography, X-Ray; Molecular Conformation; Web Browser; Software; Models, Molecular; Imaging, Three-Dimensional; Computational Biology [methods]",2020-01; 2020 Jan,"Prisant MG, Williams CJ, Chen VB, Richardson JS, Richardson DC; Williams, Christopher J.; Chen, Vincent B.; Prisant, Michael G.; Richardson, David C.; Richardson, Jane S.",Protein science : a publication of the Protein Society; Protein Science: A Publication of the Protein Society; Protein Science : A Publication of the Protein Society
31004797,,10.1016/j.jbi.2019.103171,http://www.ncbi.nlm.nih.gov/pubmed/31004797; https://pubmed.ncbi.nlm.nih.gov/31004797,An efficient reachability query based pruning algorithm in e-health scenario.; An efficient reachability query based pruning algorithm in e-health scenario,N,N,N,OTHERS,OTHERS,,,,,Disease-Symptom graph database,excluded: no GDB use,Pruning algorithm; Chain Cover; graph database; Reachability Query,computer science; health,Algorithms; Telemedicine; Datasets as Topic,2019 Jun; 2019-06,"Mondal S, Mukherjee N; Mondal, Safikureshi; Mukherjee, Nandini",Journal of Biomedical Informatics; Journal of biomedical informatics
30935389,PMC6444506,10.1186/s12911-019-0798-8,http://www.ncbi.nlm.nih.gov/pubmed/30935389; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6444506; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6444506/,QAnalysis: a question-answer driven analytic tool on knowledge graphs for leveraging electronic medical records for clinical research; QAnalysis: a question-answer driven analytic tool on knowledge graphs for leveraging electronic medical records for clinical research.,N?,Y?,N,OTHERS,OTHERS,QAnalysis,demo,,Neo4j,a question-answer driven analytic tool on knowledge graphs for,excluded: out of scope,Context-free grammar; Statistical question answering; Graph database; Electronic medical record,bid data; clinical research,"China; Electronic Health Records; Biomedical Research; Natural Language Processing; Pattern Recognition, Automated; Software; Humans",2019 Apr 1; 2019-04-01,"Huang, Yueqi; Liu, Xuli; Ruan T, Huang Y, Liu X, Xia Y, Gao J; Ruan, Tong; Xia, Yuhang; Gao, Ju",BMC medical informatics and decision making; BMC Medical Informatics and Decision Making
30226672,,,http://www.ncbi.nlm.nih.gov/pubmed/30226672; https://pubmed.ncbi.nlm.nih.gov/30226672,"[Bigdata, artificial intelligence and blockchain for dummies]; [Bigdata, artificial intelligence and blockchain for dummies].",N,N,N,REVIEW,REVIEW,,,,,Reviews approaches for AI and big data towards their use in medicine,excluded: no English publication,,computer science; big data,Big Data; Artificial Intelligence,2018-09-05; 2018 Sep 5,"Lovis C, Gaudet-Blavignac C, Chevrier R, Robert A, Issom D, Foufi V; Chevrier, Raphaël; Gaudet-Blavignac, Christophe; Robert, Arnaud; Issom, David; Foufi, Vasiliki; Lovis, Christian",Revue medicale suisse; Revue Medicale Suisse
30085931,PMC6340125,10.1515/jib-2018-0023,http://www.ncbi.nlm.nih.gov/pubmed/30085931; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6340125; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6340125/,Towards FAIRer Biological Knowledge Networks Using a Hybrid Linked Data and Graph Database Approach.; Towards FAIRer Biological Knowledge Networks Using a Hybrid Linked Data and Graph Database Approach,Y,Y,Y,ONTOLOGY,INTEGRATED; ONTOLOGY,BioKNO,https://github.com/Rothamsted/bioknet-onto,,Neo4j,"Biological Knowledge Network Ontology (BioKNO), a lightweight ontology for the represention of biological-related knowledge networks",included: shows connection between FAIR principles and Neo4j and is related to KnetMiner work (PMID: 33750020),bio-ontologies; biological knowledge networks; graph databases; linked data; FAIR data principles; data integration; semantic web,Bioinformatics,"Genome, Human; Gene Regulatory Networks; Software; Computer Graphics; Humans; Knowledge; Computational Biology [methods]; Genome-Wide Association Study; Databases, Factual",2018-08-07; 2018 Aug 7,"Singh, Ajit; Brandizi, Marco; Rawlings, Christopher; Brandizi M, Singh A, Rawlings C, Hassani-Pak K; Hassani-Pak, Keywan",Journal of integrative bioinformatics; Journal of Integrative Bioinformatics
28936969,PMC5640425,10.7554/eLife.26726,http://www.ncbi.nlm.nih.gov/pubmed/28936969; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5640425/; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5640425,Systematic integration of biomedical knowledge prioritizes drugs for repurposing; Systematic integration of biomedical knowledge prioritizes drugs for repurposing.,Y,Y,Y,INTEGRATED,INTEGRATED,Hetionet (Project Rephetio),neo4j.het.io,,Neo4j,A resource integrated millions of biomedical studies,"included: an integrated GDB encoding knowledge from millions of biomedical studies, including network and pathway data",machine learning; human; heterogeneous networks; drug repurposing; computational biology; systems biology,Drug-disease association,"Drug Discovery [methods]; Systems Biology [methods]; Humans; Drug Repositioning [methods]; Computational Biology [methods]; Models, Biological",2017-09-22; 2017 Sep 22,"Brueggeman, Leo; Lizee, Antoine; Khankhanian, Pouya; Baranzini, Sergio E; Himmelstein, Daniel Scott; Baranzini, Sergio E.; Hadley, Dexter; Green, Ari; Chen, Sabrina L; Chen, Sabrina L.; Hessler, Christine; Himmelstein DS, Lizee A, Hessler C, Brueggeman L, Chen SL, Hadley D, Green A, Khankhanian P, Baranzini SE",eLife
28633344,,10.1093/bioinformatics/btx397,https://pubmed.ncbi.nlm.nih.gov/28633344; http://www.ncbi.nlm.nih.gov/pubmed/28633344,Pheno4J: a gene to phenotype graph database; Pheno4J: a gene to phenotype graph database.,Y,Y,Y,SOFTWARE,SOFTWARE,Pheno4J,https://github.com/phenopolis/pheno4j,2 years ago,Neo4j,annotated genetic variants and well phenotyped patients,included: a tool to store phenotypic data into a GDB,,Genetics,"Databases, Genetic; Phenotype; Computational Biology [methods]; Software; Humans; Genetic Variation",2017 Oct 15; 2017-10-15,"UKIRDC; Mughal, Sajid; Yu, Jing; Clark, Tristan; Pontikos, Nikolas; Mughal S, Moghul I, Yu J, UKIRDC, Clark T, Gregory DS, Pontikos N; Gregory, David S.; Moghul, Ismail","Bioinformatics (Oxford, England)"
27627442,,10.1089/cmb.2016.0095,https://pubmed.ncbi.nlm.nih.gov/27627442; http://www.ncbi.nlm.nih.gov/pubmed/27627442,EpiGeNet: A Graph Database of Interdependencies Between Genetic and Epigenetic Events in Colorectal Cancer; EpiGeNet: A Graph Database of Interdependencies Between Genetic and Epigenetic Events in Colorectal Cancer.,Y,Y,Y,INTEGRATED,INTEGRATED,EpiGeNet,https://github.com/ibalaur/EpiGeNet,,Neo4j,A KG for colorectal cancer,included: a KG for colorectal cancer,colorectal cancer; epigenetics; molecular interdependencies; computational molecular biology; networks; graph database,SB:ColorectalCancer,"Gene Regulatory Networks; Colorectal Neoplasms [genetics]; Epigenesis, Genetic; Software; Computer Graphics; Humans; Computational Biology [methods]; Databases, Factual",2017-10; 2017 Oct,"Ruskin, Heather J.; Auffray, Charles; Lysenko, Artem; Balaur I, Saqi M, Barat A, Lysenko A, Mazein A, Rawlings CJ, Ruskin HJ, Auffray C; Balaur, Irina; Rawlings, Christopher J.; Saqi, Mansoor; Barat, Ana; Mazein, Alexander",Journal of computational biology : a journal of computational molecular cell biology; Journal of Computational Biology: A Journal of Computational Molecular Cell Biology
27587666,,10.1093/bioinformatics/btw455,https://pubmed.ncbi.nlm.nih.gov/27587666; http://www.ncbi.nlm.nih.gov/pubmed/27587666,"PanTools: representation, storage and exploration of pan-genomic data; PanTools: representation, storage and exploration of pan-genomic data.",Y,Y,Y,SOFTWARE,SOFTWARE,PanTools,http://www.bif.wur.nl,Active,Neo4j,pan-genomic data,included: software builds a pan-genome into a neo4j database,,Genomics,"High-Throughput Nucleotide Sequencing; Arabidopsis; Escherichia coli; Genome, Bacterial; Software; Humans; Genome; Algorithms; Computational Biology [methods]; Genomics",2016-09-01; 2016 Sep 1,"Schranz, M. Eric; Sheikhizadeh, Siavash; Smit, Sandra; Sheikhizadeh S, Schranz ME, Akdel M, de Ridder D, Smit S; de Ridder, Dick; Akdel, Mehmet","Bioinformatics (Oxford, England)"
